"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Türk Telekom Modem 20 Gündür Gelmedi","02 Ağustos 23:16","158","C****** G***** olarak 17 gün önce modem isteğinde bulunduk, faturaya yansıtmak üzere 5 iş günü içinde geleceğini söylediniz. 86 yaşında kanser hastası, 92 yaşında KOAH hastası iki yaşlının günlerdir interneti yok. 20 güne yakındır modemi bekliyorlar. Bu modemi onlar öldükten sonra mı göndereceksiniz","...","#Modem"
"Türk Telekom TTNET Pişmanlıktır Kullanmadan Ödeme Yapılıyor","02 Ağustos 23:08","112","Aylardır internet kullanamıyorum. Her ay ayrı bir saçmalık, modemden diyorlar modem satıyorlar, altyapı diyorlar her geldiklerinde farklı bir şey söylüyorlar. Arıza kaydı oluşturuldu diyor telesekreter, direkt telefon kapanıyor. Örnek veriyorum, ayın 1'inde arıza kaydı oluşturuluyor, 29'unda çözüldü","...","#İnternet"
"Türk Telekom Maddi Manevi Mağduriyet","02 Ağustos 23:02","228","Türk Telekom'a ait kullanılan hat bulunduğumuz yerde çekmiyor. İlgililere mağduriyetimiz iletildi, herhangi bir dönüş veya çözüm olmadı. Müşteri hizmetlerini arıyoruz, ulaşamıyoruz. Almadığımız hizmetin bedelini ödemek istemiyorum. 15 gündür hat kullanılamıyor, karşımızda muhatap bulamıyoruz.","","#Altyapı Sorgulama"
"Türk Telekom İşe Yaramaz Ev İnterneti!","02 Ağustos 23:02","300","Yeni evimize Türk Telekom'dan internet bağlattık. Müstakil olduğu için Türk Telekom'dan her kata kocaman çoğaltıcılar koydurduk (faturamıza bedelleri yansıtılıyor) ama bir internet ki sanki yıl 1998. Test yapıyoruz yüksek görünüyor hız, ama asla ve asla görünen değil. Alışveriş sitesine giriyorum fo","...","#İnternet"
"Türk Telekom İptal İşlemi Sıkıntısı","02 Ağustos 22:56","184","Türk Telekom'la geçtiğimiz hafta tarifemi yenilemek için iletişime geçtim. Ancak bana uygun bir tarife sunamadıkları için hattımın iptal edilmesi yönündeki talebimi ilettim. Beni 31/07 ve 02/08 tarihlerinde aradılar. Açtığımda 10 saniyeden fazla beklediğim halde, kimse konuşmadığı için kapattım. Bil","...",""
"Türk Telekom İlgisizliği Ve Cayma Bedeli Sorunu","02 Ağustos 22:48","203","TTNET internet, 15 gündür şikayetime dönüş yapılmadı. Arıza kontrolü yapılacak dendi, en geç 48 saat içinde ne gelen var ne giden ne de arayan. Sürekli arıyorum, haklısınız en kısa sürede dönüş yapılacak deniyor. Kısa süre dedikleri 3 ay mı? Evin içinde mobil hattım bile çekmiyor, ona bile dönüş ya","...","#İnternet"
"Türk Telekom Kesik İnternet Şikayeti","02 Ağustos 22:42","255","Türk Telekom internetim bir haftadır kesik ve çözüm bulunmuyor. Ben evimden çalışan bir insanım ve küçük çocuğum var televizyonum Tivibu ama ben bir haftadır mağdurum. Her aradığımızda arıza kaydı açıyorlar. Bir hafta oldu ilerleme yok. Ben Türk Telekom dan şikayetçiyim.","","#İnternet"
"Türk Telekom Evde İnternet Bağlantı Sorunu","02 Ağustos 22:41","266","Ben Gülcan A******** 26.07.2024 tarihinden itibaren Türk Telekom evde internet ile bağlantı problemi yaşıyorum. Bağlantı problemi olmasına rağmen bize hiçbir şekilde olumlu ya da olumsuz bir dönüş yapılmadı. Üç kez arıza kaydı oluşturduk fakat sonuç bir türlü alamadık.","",""
"Türk Telekom Çekmiyor Boşuna Fatura Ödüyoruz","02 Ağustos 22:34","138","Yıllardır Türk Telekom kullanıyordum ama bu sene gerçekten bıktım, sıkıldım, kullanmak istemiyorum. Hiçbir yerde çekmiyor resmen. Bu sorunu da bir tek ben değil, herkes yaşıyormuş. İstanbul'un ortasında çekmiyor resmen. Ne telefonla rahatça görüşebiliyorum ne de internete girebiliyorum. Boşuna fatur","...","#Fatura ödeme"
"Türk Telekom Altyapı Sorunu","02 Ağustos 22:28","59","25 Şubat 2024'te taşındığım evimde kaç aydır internetim donuk duruyor. Türk Telekom'un altyapı bağlamasını bekliyorum. Kaç defa dilekçe verdim. Gidip gelmekten usandım şubeye, her seferinde 'bu ay olacak' deyip aynı şekilde devam ediyor. 6 daire olarak hepimiz mağduruz.","","#Altyapı Sorgulama"
"Türk Telekom Uygulamasında Mobil Bölümüne Giriş Yapamıyorum!","02 Ağustos 22:21","592","Türk Telekom uygulamasında mobile giriş yap dediğimde numaramı doğru yazıyorum fakat şifre gönder yerinde iletilemiyor. Sonraki deneyişimde beni hatırlaya tıklıyorum. Çünkü daha önceden oraya giriş yapmıştım ve nolduysa çıkış yapılmış ve giremiyorum. Daha çok denediğimde ise sonraki gün bana devlete","...","#Sil Süpür"
"Türk Telekom Ev İnterneti Fatura Ücreti","02 Ağustos 22:21","341","Türk Telekom Ev İnterneti 1 sene önce 130 TL olan fatura ücretim yeni dönemde 459 TL teklif ediliyor. Arada %300 den fazla fark var. Hiçbir şeyin fiyatı bu kadar artmamışken altyapı çalışması vs. Yapmadan düşük maliyet olduğu halde bu fiyat artışı neye dayanarak sunuluyor. Bugün itibariyle iptal ett","...","#İnternet"
"Türk Telekom 24 Saat İnternet Kesintisi","02 Ağustos 22:01","508","Bugün internetimle ilgili bir sorun yaşadım. 12 saat sonra işten döndüğümde sorunun hala çözülmediğini fark ettim ve iletişime geçtiğimde 24 saat süreceğini ana hatlarda sorun olduğunu söylediler. 1 gün fatura ödemez iseniz derhal internetinizi keser ama iş benim hakkıma gelince çözüm merkezi hiçbir","...","#İnternet"
"Türk Telekom İnternet Çekmeme Sorunu","02 Ağustos 22:01","194","Türk Telekom'la anlaşmış olduğumuz çekim hızı sağlanmamaktadır internet hızı 16 Mbps olması gerekirken 6.5 Mbps dir ayrıca internet çekmiyor. Yardımlarınızı bekliyoruz. Konuyla ilgili bir çözüm bulunmazsa hukuki yollara başvuracağız. Ki bu bizim en doğal hakkımız para verip hizmet almaya çalışıyoruz","","#İnternet"
"Türk Telekom Magnet İnternet Fiyatı Orantısız Zam Günü Gelmeden","02 Ağustos 22:01","641","Konu Türk Telekom magnet kablosuz sınırsız internet Aylık fiyatı ilk 200 TL ile başladık yıl bitti yine 200 TL ile devam ettik sonra 200 den 400 e çık","...","#Magnet"
"Türk Telekom Tarife Ücretini Fazla Çıkartması","02 Ağustos 21:55","455","Merhabalar 8. Temmuz tarihinde tarife ve operatör değişikliği için Türk Telekom bayisine başvurmuş bulunmaktayım. Tarife tutarı 315 TL artı vergiler ile 330 TL olacağı bilgisi tarafıma iletilmiştir ve o şekilde onay verilmiştir. İlk resimde belirtildiği gibi. Fakat 2. Resimde belirtildiği üzere","...","#Numara Taşıma"
"Türk Telekom'dan İnternet Hizmeti Alamama Sorunu","02 Ağustos 21:41","312","Türk Telekom'dan 15 gündür evde internet kullanamıyorum. Arıza kaydı Oluştururken müşteri temsilcisine ulaşabildim ve derdimi anlattım. Ama ondan sonraki süreçte asla müşteri temsilcini ulaşamadım. Bugün başka bir konu seçip müşteri hizmetlerine bağlandım sorunumu anlattım ve yüzüme telefonu kapattı","...","#İnternet"
"Türk Telekom Evde İnternet Sorunu","02 Ağustos 21:34","228","Türk Telekom uzun süredir ev internetinde problem yaşatıyor. Bugün geldiler hızı arttırın diyorlar ben normalde de interneti kullanamıyorum ki sürekli kendi internetimi kullanıyorum. Aniden bağlantı kesiliyor. Çok yavaşlıyor kullanılmayacak seviyede oluyor. Bağlanan kişi sayısı fark etmeden yavaşlıy","...","#İnternet"
"Türk Telekom Müşterisini Önemsemiyor Ve Sorunu Çözmüyor","02 Ağustos 21:14","364","Türk Telekom a numara taşıma yaptım. Taahhüt imzaladım ve bir yıl boyunca 130 TL fatura ödeyecektim. Ama gelinen noktada 256 TL'ye çıkan bir fatura ödüyorum. Hiçbir aşım yapmamama rağmen niye 256 TL ödüyorum. Bu konuyla ilgili müşteri hizmetleri beni birkaç aydır oyalıyor. Yetmiyormuş gibi adam akıl","...","#Fatura ödeme"
"Türk Telekom Hizmet Kalitesi Sorunu","02 Ağustos 21:06","124","Türk Telekom müşteri hizmetlerini 1 haftadır aramama rağmen sorun kesinlikle çözülmüyor. 2024 yılında her ay 500 ve 600 TL internet faturası ödeyip hizmet alamamak. Türk Telekom pişmanlıktır. İlgisizlik, ciddiyetsizlik, tamamen pişmanlık, bu gidişle sorun çözülmeyecek...","","#İnternet"
"Türk Telekom 3 Aydır Mağdur Ediyor Beni!","02 Ağustos 20:58","551","Türk Telekom altyapısında çıkan bir problemden dolayı 3 aydır evimde internet yok. Evimde şebeke sorunu yaşıyorum. Mobil ağ ve hizmetlerini de kullanamıyorum ve 3 aydır yetkililer beni oyalıyor. Gerçekten bu mağduriyeti hak etmiyorum. Türk Telekom, aylardır sorunumun giderilmesi için ne kadar emek v","...","#İnternet"
"Sokaktaki Türk Telekom Kutusu Yer Değişikliği","02 Ağustos 20:58","117","Sokaktaki Türk Telekom kutusu efsane bir ses çıkardığı için geceleri uyumak zulüm oldu. Yer değişikliği çok zor olmasa gerek, defalarca dilekçe yazmama rağmen hiçbir şekilde olumlu bir geri dönüş olmadı. Herhangi bir yetkili kişi de şikayet ile alakalı gelmedi, geri dönüş olmadı.","","#İnternet"
"Türk Telekom 6 Aydır İnternet Sağlamıyor Ama Faturaları Tahsil Ediyor.","02 Ağustos 20:45","339","Bu şikayeti önce Word’te yazıyorum, sonra Şikayetvar’a yapıştıracağım. Neden? Çünkü direkt olarak Şikayetvar’da yazıp göndermeye çalışsam internet kesilebilir, yazdıklarım boşa gidebilir. Türk Telekom’un bana sağlayacağı kısa süre içinde bu şikayet yazısını iletmem lazım ve çok zor görünüyor. 6 Aydı","...","#İnternet"
"Türk Telekom Faturalı Hat Sorunları","02 Ağustos 20:37","427","Türk Telekom tarafından 26 Ağustos tarihinde bitecek faturalı tarifem için 2 aydır sürekli aranıyordum. Aramaların bir tanesinde eğer yeni faturalı tarifeyi kabul edersem eski faturalı tarifemi 26 ağustosa kadar kullanıp kullanamayacağımı sorduğumda eski tarifenizi taahhüt sonuna kadar kullanabilirs","...","#Faturalı Paketler"
"Türk Telekom'dan Çok Şikayetim Var","02 Ağustos 20:16","357","Türk Telekom'dan şikayetçiyim. Evimde kullandığım Türk Telekom internetim 4 Temmuz'dan beridir çalışmıyor. Müşteri hizmetlerini her arayışımda genel arıza var diyorlar. Temmuz 12'sinde geleceklerdi, gelmediler. 15 Temmuz'da geleceklerdi, yine gelmediler. 15 Temmuz'dan 31 Temmuz'a attılar ve yine gel","...","#İnternet"
"Türk Telekom Evde İnternet Modem Arızası","02 Ağustos 20:16","317","20/07/2024 tarihinde evde kullandığımız internet gitti. Hemen değerli Türk Telekom müşteri hizmetlerini aradım ve hemen arıza kaydı oluşturdular. Ama ne hikmetse her gün 'Arıza kaydınız ile ilgili teknik ekiplerimiz tarafından yapılan kontroller devam ediyor.' diyorlar. 2 hafta oldu, hâlâ bir ilerle","...","#İnternet"
"Türk Telekom Ve Suknet Arasında Kalan Müşteri Mağduriyeti","02 Ağustos 20:15","69","Türk Telekom altyapısı ile suknet yerel internet sağlayıcısını evde kullanıyoruz. Üstelik hat fiber olmasına rağmen sürekli sorun yaşıyoruz. 3 gündür şehrin ortasında, hafta içi ve mesai saatlerinde olmasına rağmen hiçbir işlem yapılmıyor. Suknet'i arayınca 'bizlik bir şey yok' diyorlar ama ödemeye","...","#İnternet"
"Türk Telekom Taahhüt Vermedin Fazla Fatura","02 Ağustos 20:01","364","Mobil üzerinden size özel gelen teklifte Özgür Prime 40gb paketi 320 TL yerine 260 TL 12 ya kalma sözüne diye teklif geldi. Mobil uygulama üzerinden bu teklifi kabul ettim ve paketi kullanmaya başladım. Yeni fatura döneminde faturam 520 TL geldi ve müşteri hizmetlerini aradığım zaman taahhüt vermedi","...","#Prime"
"Türk Telekom Taahhüt D*l*n Diriliği Hakkında","02 Ağustos 19:53","217","Haziran ayında Türk Telekom'a online başvuru yaparak geçiş yaptım. Haziran ayı faturam söylenenden fazla geldi, sonrasında temmuz ayı faturam da fazla geldi, bu ay arayıp sebebini öğrendiğimde taahhüt yapmadığım için böyle olduğu söylendi. SMS ile taahhüt yapıldığını söyledi fakat geçişim yapılırken","...","#Fatura ödeme"
"Türk Telekom Taahhüt Yenileme Geçiş","02 Ağustos 19:39","301","Türk Telekom firması ev interneti için beni aradı. Taahhüt yenileme yaptık ama yenilediğim pakete 24 saat içinde geçiş yapacaksınız dediler, geçemedim. Türk Telekom müşteri hizmetlerini aradım ve 4665909143 bildirim numaralı şikayet kaydı oluşturdular. Hâlâ bunda bile dönüş olmadı. Hem kendileri arı","...","#İnternet"
"Türk Telekom Batman 2668 Sokakta Şebeke Sorunu","02 Ağustos 19:24","457","Sokağımızda 2 yıla yakındır şebekeler çekmiyor. Adresimiz Batman Kültür Mahallesi 2668 Sokak No 8'de oturmaktayım. Bununla ilgili Türk Telekom'a kaç keredir gidiyoruz, tamam geleceğiz diyorlar ama bir türlü gelmiyorlar. Mahalleye gelen insanlar mahalleden kaçmak zorunda kalıyor. Özellikle buraya taş","...","#Altyapı Sorgulama"
"Türk Telekom Ev İnterneti Al Yapı Sorunu","02 Ağustos 19:17","190","Denizciler 2514. Sokak Mehmet köşe apartmanı No :14 kat :2 daire no : 7 Adresine yeni taşındım ve evime ev interneti bağlatmak istiyorum ama Türk Telekom altyapı yok diyor. Yıl olmuş 2024 ve şehrin ortasında yaşıyorum, karşı mahallede var iken bizim bina da ya da mahallede nasıl olmaz. Eşim Home ofi","...",""
"Türk Telekom Bir Türlü Giderilmek İstenmeyen VDSL Hız Ve Kopma Sorunu","02 Ağustos 19:09","189","1842000180 numaralı VDSL hizmetini kullanmaktayım. 7. Ayın 21'inde kablo sorunu ile VDSL bağlantısında sorun başladı. 4441444'ü aradım ve durumu anlattım, arıza kaydı oluşturdular. 75 Mbit olan hızımı 50 Mbit'e düşürdüler ve sorun giderildi diye mesaj gönderdiler fakat sorun daha da büyüdü. Tekrar a","...","#İnternet"
"Türk Telekom Memnuniyetsizliği, Çözüm Bulun Lütfen.","02 Ağustos 19:01","591","Türk Telekom da hattım vardı. İstediğim tarifeye geçiş yapılmadı. Yüksek ücret ödedim müşteri hizmetleri ile görüştüm cayma bedeli çıkmıyor hemen gidip ya değiştirin ya kapatın dediler. Bende şubeye gittim cayma bedeli yok dediler. Vodafone geçiş yaptım aynı gün. Geçiş yaptıktan sonra kalan kullanım","...","#Faturalı Paketler"
"Türk Telekom İnternet Kesintisi Kablo Kopması","02 Ağustos 18:54","594","Mahallemizde bulunan internet bağlantısı Fatih Belediyesi tarafından yapılan bina yıkımı sırasında kabloların koparılmasından dolayı kesildi artık internet kullanamaz olduk bıktık. Son 2 haftada 2. Kesintiyi yaşıyoruz. Derviş ali Mahallesi Astarcı sokak Draman Fatih İstanbul","","#İnternet"
"Türk Telekom İnternet Bağlantısı Sorunu Ve Müşteri Hizmetleri Erişimsizliği","02 Ağustos 18:46","303","İnternet bağlantısı yok, 3 gün oldu. Kimse gelip bakmıyor, arıyorum müşteri temsilcisine bağlanamıyorum. Boş yere para ödüyorum. Arızanın nerede olduğunu ben görüyorum ama kimse gelmediği halde arıza tespit yapılıyormuş. Komple apartmanda internet yok, tam bir fiyasko.","","#İnternet"
"Sözleşme İptali İçin Türk Telekom'a Müşteri Hizmetlerine Ulaşamıyorum","02 Ağustos 18:46","319","Türk Telekom müşteri hizmetlerine ulaşamıyorum. Yüzüme kapatılıyor. Sözleşme iptali için arıyorum ama ulaşamıyorum. Telefona bakan yok, sözleşmemi iptal edemiyorum. Yeni oluşturduğum 8 gün oldu, ulaşamıyorum. 14 günlük cayma hakkını mı bekliyorlar bilmiyorum.","","#Faturalı Paketler"
"TTNET Cevap Vermiyor","02 Ağustos 18:39","171","Merhaba, TTNET'ten ilgili kişiler taahhüdüm az kaldığı için beni aradılar. Müsait olmadığım için daha sonra aramalarını rica ettim, fakat bir daha aramadılar. Taahhüdüm bitmek üzere. TTNET'i defalarca aramama rağmen açmıyorlar ya da açıp kapatıyorlar. Lütfen bana yardımcı olabilir misiniz? Teşekkürl","...",""
"Türk Telekom Paketinden Bilgisi Olmayan Türk Telekom Çalışanları","02 Ağustos 18:30","227","Türk Telekom mobil internet sitesinde el ele avantaj diye bir mobil paketi bulunmasına rağmen ne müşteri temsilciliği ne de Türk Telekom genel merkezi tarafından bir türlü pakete geçişi sağlayamadım. Bilgilerinin olmadığını bu pakete geçiş yapamayacağımı söyleyip durdular. Ancak internet sitelerinde","...","#İnternet"
"Türk Telekom Faturalı Hat Aşımı Sorunu","02 Ağustos 18:12","202","Faturalı hat kullanıcısıyım. Fatura aşımı olmamasına rağmen fatura ücreti olması gereken 280 TL, lakin gelen fatura ücreti 495 TL. Daha kullanmadığım birçok internet, SMS ve dakikam varken her ay böyle yüksek fatura ücretinin gelmesinden dolayı şikayetçiyim. Operatörü değiştirmek istiyorum.","","#Fatura ödeme"
"Türk Telekom Bilgi Dışı Mail Gönderimi","02 Ağustos 18:12","226","2 Ağustos 2024'te Türk Telekom'dan (b****@mobil.turktelekom.com.tr) ekte ilettiğim maili aldım. Aynı gün 16:57'de Türk Telekom'a ait 444 1 444 numaralı çağrı merkezine ulaşarak ortada yanlış bir durum olduğunu ilettim. İlk müşteri hizmetleri temsilcisi ilgili birime yönlendireceğini ileterek sesli m","...",""
"Türk Telekom 20 Gündür Onarılmayan Dükkan Telefonu Ve Zarara Uğrayan Esnaf!","02 Ağustos 18:09","160","Dükkanımıza bağlı sabit telefon kablonun kopması sebebiyle 20 günü geçik bir süredir aktif değildir. Bununla ilgili birçok kez arıza kaydı oluşturmamıza rağmen hiçbir onarım yapılmadı. Dükkanda ki bütün pos cihazlari telefona bağlı olduğu için pos cihazları da çalışmıyor ve işletmemiz çok zarara uğr","...","#Ev Telefonu"
"Türk Telekom Başiskele İnternet Genel Arıza","02 Ağustos 17:50","369","Başiskele Barbaros Mahallesi'nde 23.07.2024 tarihinden beri internetimiz yok. Türk Telekom müşteri hizmetlerini defalarca aradım, görevliler genel bir arıza olduğunu bildirdiler. İlk 4-5 gündür idare etmeye çalıştık ama artık 1 haftayı geçti. Bu durum canımızı sıkmaya başladı. Şikayet kaydı bile olu","...","#İnternet"
"Türk Telekom İnternet Sorunu Sosyal Medyada Kullanım Yok","02 Ağustos 17:44","507","Sabahtan beri ne yaptıysam olmadı. Acaba telefonda mı sorun var dedim ama yok, Google'a giriş yapıyor, sosyal medyaya giriş yok. Telefonumdan sosyal medyaya giriş yapamıyorum, ne mobil veriden ne ev internetinden. Lütfen yardımcı olursanız sevinirim. Acil tarafından.","","#İnternet"
"Türk Telekom Borç Olmamasına Rağmen Maaşa Konulan Haciz","02 Ağustos 17:44","172","Türk Telekom mobil hatlarımın borcunu ödememe rağmen Yapı Kredi maaş hesabıma haciz konulmuş ve 1 Ağustos'ta yatan maaşımın dörtte biri haciz edilmiş. Haciz değil, yanıltmaca bunun adı. 9 Temmuz'da ödeyip kapattığım borcun ve hukuk bürosu tarafından kapatılan dosyanın ardından 1 Ağustos'ta maaşımın","...","#Fatura ödeme"
"Türk Telekom İnternet Kullanamıyorum İnternet Bağlantısı Yok","02 Ağustos 17:43","296","Dün akşam saat 22.20'den bugüne kadar evimizde internet kullanamıyorum. Rica ediyorum, lütfen ilgilenin. Limonluk Mahallesi Emek Sitesi C Blok Kat 4, telefon 0530********96 Murat Y*******, abone no 1023032238. Lütfen dönüş sağlayın. Sizden haber bekliyorum. Saygılar.","","#İnternet"
"Türk Telekom İnternet Hizmeti Sürekli Kesintiye Uğruyor","02 Ağustos 17:43","215","İstanbul Ataşehir Kayışdağı Mahallesi'nde ikamet etmekteyim. Türk Telekom abonesiyim. Ev internetim 4 gündür yok. Çalışma olduğu söyleniyor, çarşamba günü aradım, 'yarın düzelecek' dendi. Bugün cuma. Ücretini ödediğim halde hizmet alamıyorum. Yıllardır kullanmadığım, ismini dahi anmadığım bir firmay","...","#İnternet"
"Türk Telekom Yanıltıcı Tarifeler Ve Eksik Bilgilendirme!","02 Ağustos 17:43","89","Bu firma resmen insanları yanıltıyor. Hem mağdur ediyorlar hem de yetersizler. Hattımı V***'dan Türk Telekom'a geçirdim. Bana en uygun olan hattı verin dedim. Çocuğunuz var mı dedi. Evet dedim. O zaman aylık 195 TL olan paket size uygun dedi. Aldım, aldığıma pişmanım. 1 hafta oldu. Mağduriyetimin gi","...","#Hat Taşıma"
"Türk Telekom Taahhüt Süresi Dolmadan Yapılan Paket Zammı","02 Ağustos 17:43","258","Benim taahhüt sürem bitmeden paketim zamlandı. Benim hiçbir onayım olmadan böyle bir şey açıklanamaz. Müşteri hizmetleri asla bir yetkiliye bağlamıyor. Türk Telekom mobil pişmanlıktır. En kısa sürede düzeltilmezse gerekli yerlere şikayet edeceğim.","",""
"Türk Telekom Ve Bitmek Bilmeyen Ev İnterneti Sorunları","02 Ağustos 17:35","364","Yeni evime taşındıktan sonra sürekli İnternet sorunu yaşıyorum yanıp sönen ışığı artık hiç yok. Sürekli aynı sorunu yaşamaktan bıktım Türk Telekom. Kaç sefer aradım geldiler, geldiklerinde yaşadığım bölgenin İnternet hızının düşük olduğunu ve bizim de İnternet hızını düşürmemizi istediler. Yaptık ne","...","#İnternet"
"Türk Telekom 08504842768 Rahatsız Ediliyoruz","02 Ağustos 17:27","262","08504842876 numarası ile arayıp TTNET müşteri bilgilerini kullanarak yeni bir internet aboneliğini onaylatıyorlar. İnsanlardan illegal yolla para alıyorlar. Taahhüdü onaylamazsanız 500₺ abonelik ücreti ile karşılaşacaksınız gibi cümleler ile insanları farklı yönlendirerek haksız surette kazanç sağlı","...","#İnternet"
"Türk Telekom Çorlu Rumeli Mahallesi Düzeltilemeyen İnternet Kesintisi","02 Ağustos 17:25","694","Tekirdağ Çorlu Rumeli Mahallesinde 3 günü geçik süredir internet kesintisi var. Önce genel arıza dediler. Sözde Genel arıza bitmiş. Ama apartmanda komple internet yok. Arıza kaydı oluşturduk. Sabahtan beri geri dönüş yapan yok. Resmen işini iyi yapamamanın örneği. Şikayetvar'da güncel yazılanlara gö","...","#İnternet"
"Türk Telekom'un Mağdur Etmesi Ve İlgisiz Davranması","02 Ağustos 17:18","230","27 Temmuz, 30 Temmuz, 31 Temmuz günlerinde yabancı numaralardan aranıyorum bu aramalar Türk Telekom mobilde görünüyor. Ben böyle bir arama yapmadım böyle bir konuşma yapmadım. Bu aramalar benim telefonumun aramalar kısmında görünmüyor. Türk Telekom mobil uygulamaya giriyorum. Numaralar aranmış görün","...","#Fatura ödeme"
"Türk Telekom EGM Tarifesine Geçirilmiyorum Mağdur Edildim.","02 Ağustos 17:16","253","Merhaba, Vodafone'dan geçen ay Türk Telekom'a geçtim. Geçme nedenim, eşim EGM tarifesinde olduğu için ondan yararlanmak istememdi. Operatör değişikliğ","...",""
"Türk Telekom Mobil Hat Çağ Gerisinde","02 Ağustos 17:08","608","Türk Telekom bireysel hat kullanmak gerçekten çok zor. Konya Meram Sahibiata Mahallesi Emir Seyfettin Sokak No:4 adresinde çalışmaktayım. Son 1 aydır sürekli hat ve internet kesintisi gerçekleşiyor. Defalarca arıza kaydı oluşturmama rağmen sorun halen çözülmedi. Faturalandırmaya gelince hiç vakit ka","...","#İnternet"
"Türk Telekom Nakil İşlemi İnşallah Bu Şikayetinde Yabana Atarsınız","02 Ağustos 17:08","177","Temmuz ayının 25'inden bellidir. Nakil işlemiyle uğraşıyoruz. Ben de müşteri temsilcisiyle ve home office olarak evimde çalışmaktayım. Lakin her gün randevu oluşturuldu denilerek bugün Ağustos'un 2'si ve ne gelen ne de giden var. Her gün bir başka güne şikayetiniz alınıyor ve hala bir sonuç yok. Ben","...",""
"Türk Telekom Yüksek Ücretler Ve Düşük Hizmet Kalitesi","02 Ağustos 17:07","57","Milleti yanılttılar, düşük hızlara yüksek fiyatlar yazmanın yanında bir de hat dondurma işlemine 360 TL ücret istiyorlar. Kimse de bunlara müdahale etmiyor! Aboneliğimi de iptal edeceğim ay sonunda. Hizmet adına hiçbir şey yok ama iş paraya gelince en önden gidiyorlar.","","#Hat Dondurma"
"Türk Telekom Arıza Kaydını Çözmüyor","02 Ağustos 17:07","91","1 haftadır internetimiz çalışmıyor ve açtığımız arıza kaydı için önce 24 saat içinde çözülecektir denildi, sonra yeniden aradık 48 saat içinde çözülecektir dendi, gelmediler şikayet kaydı açtık yeniden 48 saat dediler, şikayet kaydına şikayet açtık yine aynısı yine aynısı. Ben böyle oyalama görmedim","...",""
"TTNET İnternet Bağlantısı Yok","02 Ağustos 17:06","331","TTNET 1795383333 numaralı internet abonesiyim. İnternet bağlantım gün içinde bir anda gitti ve müşteri temsilcisine bağlandığımda sorunum çözülemedi. Bu kadar zam üstüne bir de internet sorunumu çözememeleri gerçekten inanılmaz. Modem de internet ışığı kırmızı yanıyor.","","#İnternet"
"Türk Telekom Günlerdir Süren İnternet Problemi","02 Ağustos 16:47","201","Kullanmakta olduğumuz Türk Telekom'a ait VDSL bağlantılı internete günlerdir erişim sağlayamıyoruz. Müşteri hizmetlerini arıyorum destek birim çalışıyor cevabını alıyorum her aradığımda ertesi gün sorunun biteceğini söyleyerek durumu uzatıyorlar problemi sadece ben de yaşamıyorum 3 mahalle olarak bu","...","#İnternet"
"Türk Telekom Yanlış Ödenen Fatura Ve İptal Sorunu","02 Ağustos 16:46","97","Bir hafta önce tanımadığım biri tarafından arandım ve 3085 TL olan Türk Telekom cep telefon faturamın yanlışlıkla ödendiğini öğrendim. Arayan kişi aynı gün bu faturayı kredi kartıyla yanlışlıkla ödediğini ve parasını hemen istediğini söyledi. Ben de inanmadığım için Türk Telekom mobil uygulamasına g","...","#Fatura ödeme"
"Türk Telekom Dijital Kurye Gelmiyor Ve Kimseye Ulaşamıyorum","02 Ağustos 16:45","189","Kimse gelmiyor. Kimseye ulaşamıyorum. Türk Telekom yardımcı olamıyor. Adresime gelen giden yok ve artık 2 hafta oldu. Gergin yeniden randevu erteleniyor. Türk Telekom'u aradığımda yapabileceğim bir şey yok deniliyor. WhatsApp hattı hiçbir işe yaramıyor.","","#Faturalı Paketler"
"Türk Telekom Müşteri Hizmetleri Şikayet Ve Talep","02 Ağustos 16:45","325","Türk Telekom müşteri hizmetleri hiçbir sorunumuza çözüm bulmadığı gibi, müşteri temsilcileri alay eder gibi konuşmalarda bulunuyor. Takım lideri E*** Bey'den şikayetçiyim. Benim sorunum şu; yıllardır Türk Telekom müşterisiyim, hem evde hem cepte. Geçen gün internetim telefonumun dahi çekmediği halde","...","#İnternet"
"Türk Telekom İnternet Arızası Sorunun","02 Ağustos 16:45","255","Merhaba Kastamonu/Cide ilçesinde internet kullanıcıyım. Evimin önünde kablo kopmuş diye 2 aydır hizmet alamıyorum yalnız 2 aydır fatura ödüyorum. Her aradığımda genel arıza deniyor ve işlem beklemede olduğu söyleniyor. Yazıklar olsun siz Türk Telekom'a","","#İnternet"
"Tivibu Kumanda Sorunu","02 Ağustos 16:44","172","Türk Telekom Tivibu televizyon dekoderin kumandası uzaktan çekmiyor. Gelen teknik servis televizyonun karşısına geçip çekiyor diyor. Kumanda televizyonun yan tarafından çekmeyecekse neden var? Kumandanın ya da dekoderin değiştirilmesini rica ediyoruz.","",""
"Türk Telekom Bartın Müdürlüğü'nde Sürekli İnternet Sorunu","02 Ağustos 16:34","276","Türk Telekom Bartın Müdürlüğü, arıza kayıtlarında sonucu kullanıcı hatası olarak gösteriyor. Bu sene üçüncü arıza kaydım ve gelen ekipler bina kontrolü yaptığında hatların normal olduğunu, saha dolabına uzaklıktan kaynaklı hız düşüklüğü olduğunu sözlü olarak belirtiyorlar. Fakat bina ankastre arızas","...","#İnternet"
