"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text"
"Eti Gıda Eti Gong Pops Siyah Lekeler","04 Ocak 14:48","499","Aldığım Eti Gong pops 80 gram atıştırmalık paketinde çok sayıda yapısında siyahlıklar bulunan ürün çıktı. Ayıkladıklarımın fotoğrafını, ambalaj üretim numarası görünecek şekilde aynı karede gönderiyorum. Ürün kalıplarınızın temizliği yapılmıyor. Bu birincisi, bu da yetmezmiş gibi gece vardiyasında k","..."
"Eti Gıda Bozuk Eti Cin","04 Ocak 11:33","238","Marketten büyük boy Eti cin aldım. Çocuklara vermek için açtığımda güvelenmiş ve Kelebek uçtuğunu gördüm. Bu kadarını da beklemiyordum. Her zaman aldığımız şey çocukların sağlığı resmen tehlikeye giriyor ya fark etmesem kırık zannedip yedirsem ne olacaktı. Şikayetçiyim gereğinin yapılmasını istiyoru","..."
"Eti Gıda Gıda Zehirlenmesi Yaşadık","03 Ocak 22:20","291","Eti Petito Mini aldık. İlaç varmış gibi ağır bir tadı var, çocuklar yiyemedi. Tarihi de geçmemiş olmasına rağmen daha önce de aldık ve hiç böyle bir şeyle karşılaşmadık. Severek yiyorduk; hem paramız boşa gitti hem de böyle sevilen bir markadan hayal kırıklığı yaşadık.",""
"Eti  Pasta Kek Tarihi Geçmiş!","03 Ocak 21:38","473","Tarihi geçmiş pastaları insanlara satıyorsunuz. Bu pastayı kızıma aldım, küçük çocuk anlamadan açıp yese bunun hesabını kim verecek? Ben size o kadar güveniyordum, şimdi ise kesinlikle hiçbir markanızı kullanmayacağım, bundan eminim. Sevdiklerimiz için çok şeylerimiz vardı.",""
"Eti Gıda Kapalı Paketten Yenilmiş Yarım Browni","03 Ocak 21:20","294","Paketin içinden bu şekilde çıktı, tarihi var, hava almayan kapalı paket; ama içinden bu şekilde çıkması hoş değil. Çocuğumuza yediriyoruz, markete geri götürüyorum, sizi yönlendiriyorlar. Size ulaşamıyoruz. Bu çok kötü bir durum, çocuğumuz küçük, anlamaz, yanında biz yokken yeseydi lütfen ilgilenin.",""
"Eti Hoşbeş Eksik Paketleme","03 Ocak 16:40","186","",""
"Eti Gıda Etti Gıda Sı","03 Ocak 13:54","308","Yeni aldığım ürünlerin çoğu hep bu durumda. Bir çözüm bulunmalı; çünkü müşterilere satıyorum ve insanlar geri getiriyorlar. Bu durum müşteri kaybına yol açıyor. Satıcılara söylüyorum ama hiç umursamıyorlar. Tarihleri bile yeni olmasına rağmen ürünler bozuk olabiliyor.",""
"","03 Ocak 11:34","244","",""
"Eti Gıda Yabancı Cisim Çıktı","02 Ocak 21:27","298","Eti Canga nın içinden ilk defa sert bir plastik (sert bir ambalaj atığı sanırım) çıktı. Niye 250 karakter olması gerektiğini de anlamadım. Uzatmaya ne gerek var. Bu arada yutmadığıma şükrediyorum. Boğazımda sıkıntı yaratabilirdi. Severek tüketiyordum bir daha alacağımı sanmıyorum.",""
"Eti Gıda Cici Bebede Kurt Çıktı","02 Ocak 20:21","417","Cici Bebe aldık ancak üründe kurtlanmalar vardı. Bebeklerin sağlığı bu kadar ucuz olmamalı, dikkat etmeyip öylece verebilirdik. Artık daha dikkatli olun. Lütfen, bu ikinci kez oldu. Bir kez daha böyle bir durumla karşılaşmak istemiyoruz. Arayıp bilgi verin, fiş atın gibi yönlendirmeler yazdılar.",""
"","04 Ocak 22:10","171","",""
"Eti Gıda Eti İnsan Sağlığına Zararlı Satılmamalı","02 Ocak 17:35","288","Kayseri Gross Marketten çocuklara Eti çikolatalı bisküvi aldık ürün bozuk çıktı. Tarihi yeni fakat içi bozuk. İnsan sağlığı bu kadar önemsiz olmamalı. Sonuçta bu ürünleri çocuklar tüketiyor fark etmeseydik çocuklar tüketecekti. Eti firmasından şikayetçiyiz.",""
"Eti Gıda Popkek Paketleme Hatası","02 Ocak 17:33","649","Üretici firma:Eti sanayi ve ticaret a. Ş. Kek fabrikası organize sanayi bölgesi 14. Cadde no:10 Eskişehir/ Türkiye 01.01.2024 tarihinde Eti muzlu mini kek almış bulunuyoruz ve paketin içinden açılmış koparılmış ya da paketleme hatası olan bir ürün çıkmıştır",""
"Eti Gıda Ürün Ambalajı Problemli","02 Ocak 17:15","257","Gelen ürün ambalajında bir problem bulunmakta. Sanki elektrik bandı ile kaplanmış gibi ve müşteriye verdiğimizde ağır tepki aldık. Ürün açılmadan geri getirildi. Gereğinin yapılmasını talep ediyorum. Aşağıda bulunan kasede benim telefon numaram ve dükkanıma ait adres bulunmaktadır. Bu konu ile ilgil","..."
"Eti Brownie İçinde Solucan","02 Ocak 17:09","249","Tüketim tarihi 28.05.2024 olan Eti brownie Intense'in içerisinden solucan benzeri bir kurt çıktı. Bu satırları yazarken hala oldukça gerginim. Daha önce de defalarca kez tükettiğimiz bir üründe böyle bir görüntü ile karşılaşmak midemi oldukça bulandırdı.",""
"Eti Gıda Eti Fıstıklı Çikolata Bozuk Çıktı.","02 Ocak 16:30","183","Bugün, 02.01.2024 tarihinde marketten aldığım Eti marka Antep fıstıklı çikolata, bozuk, rengi solmuş ve şekli bozuk çıktı. Böyle kaliteli bir markadan böyle bir durumla karşılaşmayı beklemezdim. Eğer bu kadar iyi bir markaysanız, neden böyle bir çikolatayı marketlere gönderiyorsunuz?",""
"Eti Gıda İnsan Sağlığı Önemsenmiyor","02 Ocak 16:23","168","",""
"Eti Top Kek Şikayeti","02 Ocak 16:23","220","",""
"","02 Ocak 15:10","148","",""
"Eti Gıda Ambalaj Hatasıyla Karşılaştık!","02 Ocak 14:06","872","Merhaba, 1 Ocak 2024 tarihinde almış olduğum Eti Burçak Sütlü çikolatalı bisküvinin ambalajında ekte resimde görülen şekilde baskı hatası bulunmaktadır. Böyle büyük bir firmanın kendi fabrikasında ürettiği üründe bu tür bir hata olabileceğini düşünemiyorum. Mühendislerinizin basit bir harf hatasına","..."
"Eti Gıda Eti Çikolatasının İçinde Paket Çıktı","02 Ocak 00:20","288","Eti markasının BİM'den küçük kardeşim için aldığım Antep fıstıklı, uzun ve ince çikolatasını yerken, daha ilk ısırıkta içinden çikolatanın paketi çıktı. Alt kısmında olduğunu gördük. Aynı ürünü tekrar aldığımızda yine aynı sorunla karşılaştık. Bu durum karşısında çikolatayı yemeden attık. Bu sorun a","..."
"Eti Gıda Eti Pizza Krakerden Plastik Çıktı!","01 Ocak 23:01","332","Eti pizza kraker içerisinden kraker ile pişmiş plastik parçası çıktı. Resimlerini çekip durumu Eti'nin Instagram adresine yazdım bana ürünü muhafaza etmemi ve beni arayıp aldıracaklarını yazdılar. Aylardır beklememe rağmen firmadan ne bir özür dilendi ne de ürün incelemeye alındı. Çocuklarıma güvene","..."
"Baharat Şoku: Eti Crax Çubuk Kraker Deneyimi","01 Ocak 19:37","531","Eti Crax çubuk krakerden aldım ama içinden çıkan aşırı çok baharat yüzünden hiçbir şey yiyemedim gördüğümde inanmadım bile resmen o derece çok baharat","..."
"Eti Gıda Eti Antep Fıstıklı Çikolata Büyük Ayıp!","01 Ocak 18:55","178","Marketten aldığımız Eti Antep fıstıklı çikolata, TETT 13.05.2024 olmasına rağmen bu şekilde beyazlamıştır ve ürünün içinde ne gibi bir kimyasal kullanıldığına dair içimizi kuşkulandırmıştır. Bu yüzden para verip aldığımız ama yiyemediğimiz bu ürünler için birkaç kez tekrarlandığı için artık buraya y","..."
"Eti Gıda Eti Ahenk Çikolata Renk Değişimi","01 Ocak 15:04","208","31 Aralık pazar günü almış olduğum Eti ahenk marka çikolatayı açtığım da karşılaştığım manzara beni şok etti. Son kullanma tarihi geçmemiş olmasına rağmen tek tek kontrol ettim ve bütün paketlerin içindeki çikolatalar küfe benzer şekilde renk değişimine uğramıştı. Tüketici olarak sizde ricam ürünler","..."
"Eti Gıda Eti Ürünü Gramaj Sorunu","01 Ocak 12:55","265","Merhaba. Eti Canga ürününü sürekli almakta ve tüketmekteyim. Son olarak paket halinde aldığım Eti Canga 45 gr. Lik ürünlerimin normalden küçük geldiğini fark ettim ve ürünü tarttığımda 35 gr. Olduğunu gördüm. Bu konuda Eti firmasını daha dikkatli olmasını dilerim.",""
"Eti Gıda Tarihi Geçmiş Ürün","01 Ocak 12:06","321","Merhaba sayın yetkili, marketlerde sürekli son tarihi geçmiş ürünlerinizle karşılaşıyoruz. Bu sorunu lütfen düzeltin... Küçük Kızım markete gitmiş, okuması olmadığı için almış, gelmiş... Çikolatayı açtım küflü çıktı ve tarihi geçmişti... Bakkala geri götürdüm, açtığımız için geri almak istemedi...",""
"","01 Ocak 08:57","118","",""
"Eti Çikolata Bozuk Çıktı","31 Aralık 2023 21:31","97","Merhabalar, bugün marketten Antep fıstıklı çikolata aldım ancak bozuk çıktı. Küçük kardeşime almıştım; Allah'tan yemeden fark ettik. Aksi takdirde mide zehirlenmesi yaşayabilirdik. Çikolatayı direkt çöpe attık ve paramız boşa gitti. Lütfen yiyecek konusunda biraz daha hassasiyet gösterelim. Salgın d","..."
"Eti Gıda Paketlenmiş Gıdada Beklenmedik Misafir","31 Aralık 2023 21:25","720","Merhaba. 30.12.2023 tarihinde mahalle bakkalımız da henüz kutusu yeni açılmış Eti Browni İntense içerisinden 3 adet satın aldım eve gittiğimde açıp yemek istediğimde çikolatanın üzerinde beyaz bir şey olduğunu fark ettim detaylıca kontrol ettiğimde kurt olduğunu ve henüz canlı olduğunu, çikolatanın","..."
"Eti Gıda Ambalaj Kusuru İçeren Tuzlu Ürün Paketi","31 Aralık 2023 17:28","155","Paketin kaynaklı yerinde açılarak ürüne dışarıdan istenmeyenlerin girmesine neden olabilecek hata. Katlama düz olması gerekirken hatalı katlama sonucu","..."
"Eti Gıda Eti Çekiliş Kampanyası","31 Aralık 2023 17:21","625","Eti markası çekiliş düzenliyor, fakat uygulaması çökmüş durumda. Bugün çekilişin son günü ve elimde birçok şifreli ambalaj bulunmakta. Böylesine büyük","..."
"Eti Benimo İçinden Kurt Çıktı","31 Aralık 2023 14:20","153","",""
"Eti Gıda Eti Küflü Ürün Satıyor","31 Aralık 2023 14:13","256","Arkası bembeyaz olduğu için ilk başta fark edemedim. Yedikten sonra ekşi bir tat aldım. Küf olup olmadığını da anlayamadım. Yazınca birkaç şikayeti görünce emin oldum. Ne yazık ki arkasının bu haliyle eski güvenle tekrar tercih edemeyeceğiz. Eti'nin eski kalitesini arıyoruz, gerçekten çok yazık.",""
"","02 Ocak 14:50","424","",""
"Eti Gıda Eti Topkek İçerisinden Anlamsız Cisim Çıktı","31 Aralık 2023 03:38","706","Eti Topkek içerisinden anlam veremediğimiz bir nesne çıktı. Daha önce de yediğim kekin içinden fındık kabuğu çıkmıştı. Hediye kutusu ile geçiştirmişlerdi. Bu sefer öyle bir şey kabul etmiyorum. Bununla ilgili bir laboratuvardan test isteyeceğim. 4 yaşında kızım var oda bu keki tüketebilir anlamad","..."
"Eti Gıda Karam Gurme Şikayet","30 Aralık 2023 23:09","131","Bugün Giresun Eynesil'deki A101 marketten aldığım Karam Gurme'nin içinden kemik ya da yağa benzer bir ürün çıktı. Bunu çocuğuma da yedirebilirdim; boğazına kaçabilirdi veya dişi kırılabilirdi. Bu kadar önemli bir gıda firmasının bu kadar özensiz olduğuna inanamıyorum. Gerekli tüm yerlere şikayette b","..."
"Eti Gıda Yazık Eti Kod Yok","30 Aralık 2023 22:42","807","Ne büyük ümitlerle Eti Popkek aldım, kodu gireyim de çekilişe katılayım istedim ama kod yok. Lütfen sayın yetkililer konuyla ilgilenebilir misiniz? Bu Eti gibi büyük bir markaya hiç yakışmadı ve size olan güvenimi gerçekten ama gerçekten çok sarstı. Bundan sonra Eti ürünleri alır mıyım bilemiyorum.","..."
"Eti Gıda Eti Maximus Nuga Bar Kupon Hatası","30 Aralık 2023 20:15","1.379","Eti markasından aldığım Eti Maximus karamelli nugat bar içindeki kuponun şifresini giriyorum ancak şifreyi onaylamıyor ve ödülleri vermiyor. İlk kez bu durumla karşılaştım. Bitiş tarihini de kontrol ettim, onda da bir sorun yok; ama nedense hediye verilmiyor. Eğer böyle olursa, pek kullanacağımı san","..."
"Eti Gıda Eti Marka Zeytinli Bisküvide Kıl Bulundu Şikayeti","30 Aralık 2023 16:38","155","Eti zeytinli bisküviden beyaz kıl çıktı. Belki plastiktir diye defalarca baktım ancak resmen beyaz saç kılı. Böyle büyük ve köklü bir firma nasıl böyl","..."
"Eti Gıda Eti Kabuklu Çikolata","30 Aralık 2023 13:43","108","Eti antepfıstıklı çikolata. Ne paketi ters ne SKT şu geçmiş. Bakınca gayet güzel. Sonra bir ısırıkta katur kütür sesler. Fıstıkları kabuklarıyla koymuşlar. Para verip çöpe attık bu nasıl bir şey. Kocaman köklü bir firma bu yakışıyor mu hiç 😡 parayı çöpe attırıyorsunuz",""
"","30 Aralık 2023 11:49","17","",""
"","30 Aralık 2023 04:09","878","",""
"Eti Gıda Hatalı Veya Kusurlu Ürün","29 Aralık 2023 23:17","89","Aldığım Eti Burçak bisküvisinin üzerinde buğday çöpü bulunuyordu. Defalarca aramama ve yazmama rağmen 'değerlendirileceksiniz' deniliyor ve bu değerlendirme dört ayı geçmek üzere. Memnuniyetle aldığım bir üründen geri dönüş yapmanız beni çok sevindirecek.",""
"Eti Gıda E** C**** Kutu İle Alım Yaptığım Halde İçerisinden Çıkan Açık Çikolata","29 Aralık 2023 22:36","323","Merhaba, Migros Korupark mağazanızdan 22/12/2023 tarihinde almış olduğum E** C**** çikolatalardan 168 adet kutu ile satın aldım. Ancak kutunun içinden","..."
"Eti Gıda Eti Gong Üzerinde Siyah Leke","29 Aralık 2023 22:35","369","Severek yediğim Eti Gong marka ürünü ne zamandır yemiyordum. Markette görünce çok sevdiğim için ve uzun zamandır yemediğim için hemen aldım. Eve geldim ve heyecanla açtım; ancak açar açmaz bırakmam bir oldu diyebilirim. Ne olduğunu anlayamadığım bir siyahlık vardı. Yanık gibi değil, küf gibi de deği","..."
"Eti Gıda Güvenle Yedirmek İstiyorum.","29 Aralık 2023 22:22","177","Eti petito çubuk çikolata aldık 2 adet hepside bembeyaz bu çikolataları çocuklarıma nasıl güvenle yedirebilirim. Ne zaman bu. Çikolatalardan alsam ya erimiş ya da bembeyaz çıkıyor bundan sonra Eti ürünü alıp çocuklarıma yedirmeyi düşünmüyorum. Ayrıca ürünlerinize daha dikkat ederseniz sevinirim",""
"Eti Gıda Eti Gold Çikolatanın Yarısı Yok","29 Aralık 2023 20:45","58","Dün almış olduğum Eti Gold çikolatayı açtım ve yarısı eksikti. Çikolatayı yiyip mi paketliyorsunuz? Bu nasıl bir iş anlayışıdır?",""
"Eti Gıda Eti Alaska Frigo Bozuk Çıktı","29 Aralık 2023 20:38","386","Aldığım Eti Alaska Frigo bozuk çıktı. İçinde beyaz beyaz minik parçacıklar var. Son kullanma tarihi 2025 olarak görünüyor ama bozulmuş. Getirden sipariş vermiştim. Çöpe atmak zorunda kaldım. İçindeki beyaz parçacıkları görünce. Fark etmesem zehirlenebilirdim.",""
"Eti Gıda Eti Popkek Hediye Adı Altında Veri Toplama","29 Aralık 2023 17:45","1.816","Eti Popkek için 100.000 lira değerinde Param Kart hediye ürünü aldım; ancak kodu girmeme rağmen 'kod yanlış' diye uyarı alıyorum. Mutlu Kutu uygulamasında bir sorun var sanırım, bu durum sadece bende yaşanmamış. Sorun çözüldü mü merak ediyorum. Bu, tamamen insanları uygulamaya yönlendirmek ve numara","..."
"Eti Tutku Diğer Bisküvilere Göre Daha Yağlı","29 Aralık 2023 13:54","618","Tutku eskisi gibi değil. Yağ oranı daha çok olduğu için b**'e dönüş yaptım. Yağ oranı azaltılırsa geri Tutku'ya dönerim. Bu mesajı da parmaklarımda Tutku'nun yağıyla yazıyorum. İçindeki çikolatanın kıvamı ve tadı güzel, şekli de güzel. Sorun sadece yağın fazlalığı.",""
"Eti Gıda Eti Popkek Hatalı Kod","29 Aralık 2023 11:24","1.179","Aldığım Eti Popkek paketinin içinden girdiğin şifre eksik veya hatalı kod diyor. Madem ki böyle kampanya var, ben tüketici olarak neden mağdur oluyorum. Ya da birileri kodları kullandı ve paketlendi. Ben de ek olarak kullandığımdan dolayı hata verdi.",""
"Eti Gıda Eti Yulaf Paketlerinde Böcek Promosyonu Var.","29 Aralık 2023 11:14","1.105","Kahvaltı ederken bana böcek ziyafeti sunan Eti Yulaf'a sonsuz teşekkürlerimi sunmak istiyorum. Bu ürünün içine böcek girmesini nasıl engelleyemiyor ve nasıl bu durumdan rahatsızlık duymuyor anlamak mümkün değil. Kahvaltı için uğraşarak hazırladığınız bir tabak size muhteşem bir geri bildirim verebil","..."
"Eti Gıda Canga Ağızda Çok Kötü Bir Tat","29 Aralık 2023 00:55","327","Ürününüzü yediğimiz zaman ağızda çok kötü bir tat bırakıyor. Ucundan biraz ısırınca istifra ettim. Ürünün son tüketim tarihi hâlâ geçmemiş olmasına rağmen bu durum çok can sıkıcı. Eti markasına bunu yakıştıramadım. Önerim, ürünlerin bakkallarda sıklıkla değiştirilmesi.",""
"Eti Gofrette Hatalı Kod","28 Aralık 2023 22:17","637","Eti'nin yeni uygulaması olan Mutlu Kutu uygulamasını kullanmaya başladım. Ancak 'kod hatalı' uyarısı alıyorum ve henüz tek bir kod bile giremedim. Çikolata satışlarını artırmak için yapılmış bir uygulama olmasına rağmen, ne uygulama üzerinden ne de siteden kod girişi yapabiliyorum. Okunaklı bir şeki","..."
"Eti Çikolata Rutubet Kokusu Kalitesiz Ürün","28 Aralık 2023 22:10","525","27.12.2023 tarihinde File marketten almış olduğumuz Eti Karam kare çikolatada rutubet kokusu vardı. Tekrar denemek için aldım ancak yine aynı sorunla karşılaştık. Bu markaya güvenemeyeceksek neye kıstas alacağımızı bilemiyoruz. Bilinmeyen ürünler almamaya çalışıp iyi markaları tercih ediyoruz fakat","..."
"","28 Aralık 2023 21:25","230","",""
"Eti Gıda Eti Gong Üzerinde Siyah Bozukluk","28 Aralık 2023 20:47","563","Merhaba, 26.12.2023 tarihinde Onur Market'ten aldığım Eti Gong ürününde, mısır patlaklarının birinin üstünde siyahlık bulunmaktadır. Başta yanık olduğunu düşündüm ancak başka bir bulası da söz konusu olabilir. Bu şekilde bir ürünün kalite kontrol geçmiş olmasına şaşırdım. Eti'ye ve tesisine olan güv","..."
"Eti Gıda Eti Mutlu Kutu Kod Sorunu","28 Aralık 2023 19:54","242","... Eti mutlu kutu uygulamasını indirdim kod girmek isteyince sürekli hata veriyor, başta seçili ürünlerde kod vardır diye düşündüm ama tüm ürünlerin kodunda aynı hatayı veriyor, aynı sorunu bir ben yaşamıyorumdur umarım. Sevdiğim çoğu zaman internet kazandığım bir uygulama böyle olmasına üzüldüm aç","..."
"Eti Gıda Eti Mutlu Kutu Şikayet","28 Aralık 2023 19:33","1.221","Bugün Eti pop kek aldım. Ürünlerde mutlu kutu uygulamasına girebilmem için ambalajın iç yüzünde kod olması gerektiği yazıyordu. Ama ürünümde de bu bahsedilen kod ne yazık ki yoktu. Burada amaç nedir? Bir uygulama kurarak hayali kodlarla insanları aldatmak mı?",""
"Eti Gıda Bisküvi Tadındaki Değişiklik Üzerine Görüşlerim","28 Aralık 2023 17:18","318","Tutkunun tadı bozulmuş. Her gün Tutku tüketen biri olarak artık Tutkudan vazgeçiyorum. 2 lira fazla olsun ama tadı bozulmasın. Sizin yüzünüzden günlük atıştırmalığımdan vazgeçtim. Tutkunun yerine tutan başka bir şey yok, şimdi Biskrem'le idare etmeye çalışacağız. Yapmayın, etmeyin.",""
"Eti Gıda Hatalı Kod!","28 Aralık 2023 16:47","608","",""
"Eti Gıda SKT'si Geçmiş Ürün","28 Aralık 2023 11:38","598","Şok marketten aldığım Eti lifalif kırmızı meyveler ürünün son kullanma tarihinin geçtiğini fark ettim şarhöyük Mah. Bülbüller sokaktaki şoktan bugün aldım. Tett tarihi 12/11.2023 13.59 olarak gözükmektedir. Madem tarihi geçti neden hala raftan kaldırılmadı ve ben bu ürünü yedikten sonra fark ettim.","..."
"Eti Gıda Açık Ve Parçalanmış Paket","28 Aralık 2023 11:20","284","Çoklu paket seklinde mini brownie ıntense almıştık fakat içinden açılmış bir şekilde brownie çıktı çok şaşırdık ve tereddüt ettik hem de çok üzüldük. Konuyla ilgili geri dönüş yapılmasını talep ediyorum. Umarım bu konunun üzerine düşülür. Başkaları da böyle durumlarla karşılaşsın istemeyiz 🥹🥹",""
"Eti Gıda Eti Pop Kek Kodu Yok Boş Çıktı","27 Aralık 2023 20:58","1.124","Eti Popkek aldım ve kampanyaya katılmak için uygulamayı indirdim. Ancak zahmet edip kod koymamışlar, anlamış değilim. Çocuk heveslenip almış fakat sonuç hüsran oldu. Hatanın düzeltilmesini ümit ediyorum. Sonuçta herkese sunulan bir hak olan paketin boş çıkması pek etik gelmedi. Saygılarımı sunarım.",""
"Eti Gıda Bozuk Mal Satıyor","27 Aralık 2023 20:37","459","Tekirdağ Kapaklı ilçesinde saat kulesinin orada bulunan 46 numaralı Kenan Şarküteri adlı tekel bayiinin bozuk çikolata sattığını ve tavrının hiç hoş olmadığını belirtmek istiyorum. Bu durumun araştırılmasını talep ediyorum. Tarihi geçmiş ve bozulmuş ürünler satılmaktadır. Aralarında altı ay geçmiş b","..."
"Eti Gıda Eti Petito Mini Bozuk Çıktı","27 Aralık 2023 18:17","295","3,4 gün önce Eti Petito'nun 18li paketinden aldım. Ürünü bugün açtığımda yenecek durumda değildi. Ürün kum gibi dağılıyor. Ürünün tarihide geçmemiş ama nasıl bu hale geldi anlayamadım. Eti gibi büyük bir markadan bunu beklemezdim. Mağduriyetimin giderilmesini rica ediyorum.",""
"Eti Gıda Eti Lifalif Ürününden Kıl Çıktı!","27 Aralık 2023 17:21","661","Eti lifalif bar almıştım her gün birkaç tane yerim. Yalnız bugünkü bambaşka bir olay. Hangi şartlar altında bu ürünler üretiliyor CİMER'e de yazacağım denetlenmesi için. Yediğim ürünün içinden kocaman bir kıl çıktı. Bu nasıl mümkün olabiliyor. Bir de bu kadar büyük bir firma! Herkesin de görmesini i","..."
"Eti Gıda Canga Eti Şikayet","27 Aralık 2023 15:57","276","Canga aldım ve içinden çıkan gerçekten Eti'ye hiç yakışmadı. Firma olarak cevap bekliyorum. Bu nasıl olur? Gıda bu, gerçekten kötü bir tesadüf. Böyle durumlarda ne yapmak gerek? Bu kadar insan ürünlerinizi kullanıyor. Ürünlerinizin denetimi bu kadar basit mi? Geri dönüşünüzü bekliyor olacağım.",""
"Eti Gıda Eti Fıstıklı Çikolata","27 Aralık 2023 15:32","204","Eti marka fıstıklı çikolatamın içerisinden kıl/saç çıktı. Gerçekten midemiz bulandı arkadaşımla beraber yiyecektik. Çikolatayı açar açmaz kopartınca fark ettik. Gerçekten çok çok kötüydü, midem bulandı görselleri ekte paylaşıyorum. Eti markasına bile güvenemeyeceksek hangi markaya güveneceğiz!",""
"","27 Aralık 2023 15:23","185","",""
"Eti Gıda Eti Çekiliş Kodlar","27 Aralık 2023 13:53","1.344","Eti Popkek 100.000 TL çekilişinde paketin içindeki koddaki harf veya sayının 'd' mi, 'o' mu ya da '0' (sıfır) mı olduğu anlaşılmıyor, yardımcı olabilir misiniz? Nasıl ayırt etmemiz gerektiğini bilmiyorum. Ayrıca Eti Çikolatalı Hoşbeş Gofret'te de 'u' mu yoksa 'v' mi olduğu belli olmuyor. Bu karakter","..."
"Eti Gıda Boğazıma Takılan Sert Otlar","26 Aralık 2023 20:35","322","Eti Form pirinç patlağını çok severim ancak içinden çıkan ve boğazıma takılan parçalar yüzünden kısa süreli nefes alamadım. Bu nasıl bir dikkatsizliktir? Gıda ürünü satıyorsunuz ve her şeyden önemlisi bu ürünler tüketiliyor. Çok dikkatli olunması gerekirken, ağzıma attığım anda dişime takılan ve boğ","..."
"Eti Gıda Eti Mutlu Kutu Geçersiz Kod","26 Aralık 2023 20:27","293","Eti'nin yeni uygulaması mutlu kutu uygulamasını kullanmaya başladım. 8 tane şifre girmeye çalıştım. Sadece 1 tane şifreyi kabul etti. Paketlerini benim açmış olmama rağmen geçersiz kod uyarısı yazıyor. Ürünlerinin poşetini ben açtım, daha önce açılmış olsa hijyen açısından da almazdım zaten.",""
"Eti Gıda Eti Markasının Hatası","26 Aralık 2023 20:02","284","Eti markalı aldığım çubuk krakerin tarihi geçmişti. Müşteri hizmetlerini aradım ve durumu izah ettim. Hanım efendi, benimle dalga geçer gibi konuştu. Bunun dışında, ben bir ebeveyn olarak bunun farkına varabildim; ancak kardeşlerimiz, çocuklarımız, yeğenlerimiz gibi çocuklar da o marketlerden alışve","..."
"","26 Aralık 2023 19:16","364","",""
"Eti Karam Bozuk Çıktı","26 Aralık 2023 16:44","337","",""
"Eti Gıda Paketten Hamur Çıkması","26 Aralık 2023 15:49","345","Eti Balık Kraker paketinden hamur halinde bir parça çıktı. Bu durumda çocuğuma yediremeyeceğim bir gıdayla karşılaştım. Kokusunda ağır bir koku mevcuttu. Lütfen bu durumu dikkate alarak daha yüksek kaliteli ürünler üretmenizi rica ederim.",""
"","26 Aralık 2023 13:52","513","",""
"Eti Gıda Etinin Dikkatsizliği Ve Eksiklikleri","25 Aralık 2023 23:38","298","Eti Burçak sütlü kakaolu bisküvi aldım ancak paketin yarısı eksikti. Defalarca benzer durumlarla karşılaştığım için memnuniyetsizliğimi dile getirmek istiyorum. Aldığım ürünlerde bu tür sorunlar yaşamaktan dolayı artık tereddüt ediyorum. Üretim sürecindeki bu dikkatsizliklerin, diğer olası hatalara","..."
"Eti Çikolata Dışında Kabarcıklar Var, Ürün Bozulmuş!","25 Aralık 2023 23:10","146","",""
"Eti Gıda Kurtlu Kraker Hayal Kırıklığı!","25 Aralık 2023 22:40","302","Merhabalar, susamlı kraker aldım ve tüketmek üzereyken bir durum fark ettim. Susamların birbirine yapıştığını gördüm, içini açtığımda ise içinde kurt olduğunu fark ettim. Ürünün son kullanma tarihi geçmemiş olmasına rağmen böyle bir sorunla karşılaştım. Paketi yeni açmıştım ve şimdi ne yapmam gerekt","..."
"Eti Meyveli Topkek İçeriği","25 Aralık 2023 18:44","240","",""
"Eti Gıda Eti Şikayet Geri Dönemeyişi Hakkında","25 Aralık 2023 18:28","352","09.12.2023 tarihinde bir zincir marketten satın aldığım çoklu paket Cici Bebe bisküvilerinden bir paketinin açık ve bayatlamış olduğunu fark ettim. Konuyu Eti'nin kendi bünyesinde şikayet oluşturarak dile getirdim. Eti tarafından aranıp söz konusu ürünün kurye ile alınacağı bildirildi fakat henüz ki","..."
"Eti Gıda Ürünümden Kurt Çıktı","25 Aralık 2023 17:04","146","Ürünümden kurt çıktı bu nasıl olabiliyor? Böyle büyük bir firmadan alışveriş yapıyoruz ve karşılaştığım durum? Ben bu ürünün yarısına kadar yedim. Son kullanım tarihine baktığımda daha 2 ay olduğunu gördüm. Ve son kullanım tarihi geçmemesine rağmen bu durum nasıl açıklanabilir. İnsanın sağlığını res","..."
"Eti Gıda Eti Gong Küf","25 Aralık 2023 14:11","471","Az önce aldığım Eti Gong üründe küflenmeler mevcut görsel ekledim.net görünüyor. Ne yazık ki paketin yarısını yemiş bulunmaktayım. Konunun incelenmesini istiyorum. Maalesef bazen çocuklarım da yiyor, üzüldüm böyle bir markanın ürününde bu tarz soruna rastladığım için.",""
"Eti Gıda Eti Helal Mi","25 Aralık 2023 13:32","1.945","Türk markası olarak bildiğimiz Eti' nin helal sertifikası yok mu? Lütfen bizi bilgilendirir misiniz? Çok çeşitli bisküvi ve çikolata ürünleri olup özellikle çocuklarımızından severek tükettiği yerli firma olan Eti firmasının bu konuda neden hassasiyeti yok acaba? Helal sertifikası almak için başvuru","..."
