"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button","sv-model-button href","large-view src"
"Superonline Ping Ve Yayın Donma Sorunu","https://www.sikayetvar.com/superonline/superonline-ping-ve-yayin-donma-sorunu","Emre","17 Mayıs 20:34","783","Oyunlarda ping sorunu yaşıyorum, normalde 50-60ms oynadığım oyunlar 250ms ve packetloss şu anda. Twitch ve Kick yayınlarında da donma problemleri var. Arayıp destek almama rağmen sundukları hiçbir çözüm işe yaramadı. Tamamen resetlemeyi de 2-3 kere yaptık ancak ip bile değişmedi.","","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Ekipleri Çalışan İnternetimi Bozup Çekip Gitti","https://www.sikayetvar.com/superonline/superonline-ekipleri-calisan-internetimi-bozup-cekip-gitti","Tuna","17 Mayıs 20:26","202","Bugün binamızda başka bir kişiye internet bağlatmak için Superonline'dan ekip geldi. İnternet bağlantısı için binadaki kablolarla oynayarak benim internet bağlantımın kesilmesine neden oldular. Daha sonra internet bağlatmak için geldikleri kişiye de interneti bağlayamayıp, tüm kabloları karışık bir","...","","",""
"Turkcell Superonline İşimi Yapmama İzin Vermiyor","https://www.sikayetvar.com/superonline/turkcell-superonline-isimi-yapmama-izin-vermiyor","Yunus","17 Mayıs 20:20","100","Superonline internetini bir türlü kullanamıyorum. Kullanabildiğim zamanlarda da 4-5 Mbps civarında hız alıyorum. Reklamlarda ışık hızında internet vaat eden Turkcell'den tek isteğim, en azından işimi yapabileceğim bir internet hizmeti sağlamaları..","","#VDSL","https://www.sikayetvar.com/superonline/vdsl",""
"Turkcell Teslim Ettiğim Modemi Ödetmeye Çalışıyor","https://www.sikayetvar.com/superonline/turkcell-teslim-ettigim-modemi-odetmeye-calisiyor","Mehmet","17 Mayıs 19:23","152","Turkcell Superonline kullanırken Superbox'a geçiş yaptım. Eve gelip Superbox'ı kuranlar modemi biz alıyoruz dediler ve götürdüler. Ancak benim modemi teslim etmediğimi iddia ederek bana 600 lira ödetmek istiyorlar. Kurulumu yapan da kendileri, modemi getiren de kendileri, modemi götüren de yine kend","...","","",""
"Superonline Teknik Destek Problemi","https://www.sikayetvar.com/superonline/superonline-teknik-destek-problemi-6","İlke","17 Mayıs 19:23","257","Superonline internet bağlantım yaklaşık bir buçuk hafta önce gitti. Her gün müşteri hizmetleri ile görüşmeme rağmen henüz teknik servisten bir dönüş olmadı. Sürekli acil listesine yazılıyorum ama nasıl bir liste ise kimse dönüş yapmıyor. Çözüm başka firmaya geçmek gibi görünüyor.","","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell İnternet Kampanya Karmaşası Ve Mağduriyetim","https://www.sikayetvar.com/superonline/turkcell-internet-kampanya-karmasasi-ve-magduriyetim","Gökhan","17 Mayıs 19:17","530","","","","","https://files.sikayetvar.com/complaint/2880/28807960/turkcell-internet-kampanya-karmasasi-ve-magduriyetim-6_350x350.jpg"
"","","Esra","17 Mayıs 20:35","109","","","","",""
"","","Behlül","17 Mayıs 19:38","5","","","","",""
"Turkcell Superonline Sözlü/yazılı Onayım Olmaksızın Sözleşme","https://www.sikayetvar.com/superonline/turkcell-superonline-sozluyazili-onayim-olmaksizin-sozlesme","Saadet","17 Mayıs 18:16","418","Turkcell Superonline internet için bina altyapı sorgulama ve yeni abone teklif bilgileri talebime karşılık iletilen teklife hemen yanıt vermek istemedim. Eşime bilgileri aktarmak ve ortak bir karar vermek istedim. Çekimser kaldığımı anlayan görevli, düşünme süresi için ön teklif hazırlayalım, sizi a","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline Belirli Sitelerde Yüklenmeme Ve Ping Sorunu","https://www.sikayetvar.com/superonline/superonline-belirli-sitelerde-yuklenmeme-ve-ping-sorunu","Tuğberk","17 Mayıs 18:09","348","İnternet hızında sorun olmamasına Rağmen kick.com, x.com ve twitch.com'da bir şeyler izlemekte zorlanıyorum. Yaklaşık bir haftadır Superonline bu sitelerle ilgili bir sorunu, bant sınırlaması gibi bir şey var ve beni çileden çıkartıp iptal etmeye kadar götürecek. Ek olarak modemi resetlediğimde IP d","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Kıck Donma Problemi","https://www.sikayetvar.com/superonline/superonline-kick-donma-problemi","Erdoğan","17 Mayıs 18:02","425","Kick.com donma sorunu! Merhaba, Superonline kullanırken Kick.com üzerinde donma sorunları yaşıyorum. Normal internet kullanımında veya hız testlerinde herhangi bir sorun olmazken Kick.com üzerinde sanki bağlantı throttling işlemine uğruyor ve kullanılamaz hale geliyor. Müşteri hizmetleriyle iletiş","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Bağlantı Problemi Ve Müşteri Temsilcisi İlgisizliği","https://www.sikayetvar.com/superonline/superonline-baglanti-problemi-ve-musteri-temsilcisi-ilgisizligi","Tuğçe","17 Mayıs 17:32","327","Turkcell Superonline ev interneti hizmetinden son derece memnuniyetsizim. Wi-Fi üzerinden canlı yayın kanallarının sitelerine erişim sağlayamıyorum. Ancak, telefonumun hücresel verisi ile bu sitelere sorunsuz bir şekilde erişebiliyorum. Bu durum, hizmetinizin kalitesizliğini ve yetersizliğini açıkça","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Superonline Box Offline","https://www.sikayetvar.com/superonline/turkcell-superonline-box-offline","Baran","17 Mayıs 17:14","316","Merhaba, Turkcell firmasından aldığım Superbox hizmetiyle ilgili yaşadığım sorunları ve memnuniyetsizliğimi paylaşmak istiyorum. Öncelikle, 48 saat içinde kurulacağı söylenen Superbox hizmetim için iş yerimden izin aldım. Ancak, bu süre içinde kurulum gerçekleşmedi. Üç gün sonra tarafıma yapılan t","...","","",""
"","","Çağlar","17 Mayıs 17:05","51","","","","",""
"Superonline 3 Aydır Fiber Kutuya Sinyal Vermiyor","https://www.sikayetvar.com/superonline/superonline-3-aydir-fiber-kutuya-sinyal-vermiyor","Ahmet","17 Mayıs 16:57","245","Merhaba yaklaşık 3 ay önce binamıza Turkcell Superonline tarafından binamıza fiber kutu takıldı ancak sinyal verilmedi. 3 aydır internet hizmeti alamıyorum bayiye gittim ancak bir geri dönüş olmadı, aradım ne zaman sinyal verileceği bilgisini vermediler. Lütfen artık konu ile alakalı aksiyon alınsın","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Paket Yenileme Şikayeti","https://www.sikayetvar.com/superonline/superonline-paket-yenileme-sikayeti","Bora","17 Mayıs 16:50","356","16/05/2024 tarihinde Superonline bayisi tarafından aranarak 'Evde TV + Keyif' kampanyası sunumu yapılmıştır. Taahhüdümün ne zaman biteceğini sorduğumd","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Superonline Daireme Gelen Fiber Kabloyu İptal Etmiş","https://www.sikayetvar.com/superonline/superonline-daireme-gelen-fiber-kabloyu-iptal-etmis","Hakan","17 Mayıs 16:49","350","Turkcell Superonline a internet başvurusunda bulundum. 13 Mayıs tarihinde bağlamak için geldiler fakat daireye kablo gelmediğini söylediler. Kabloyu çekmeye çalışırken kablo apartmanın içinde tıkandı. Ardından interneti bağlayamadıklarını, kendiniz kablo çektirmeniz gerektiğini söylediler. Ardından","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Ev İnterneti Yavaş Çalışıyor","https://www.sikayetvar.com/superonline/turkcell-ev-interneti-yavas-calisiyor","Gökhan","17 Mayıs 16:33","226","Ev internetimde bir problem var gibi, kablosuzda yavaşlık yaşıyorum bazen kopuyor. 80 m2 evim var, internetim düzgün çekmiyor. Akşam saatlerinde anlık kopmalar oluyor kısa süreli sonra geri geliyor ama sık sık oluyor. Twitch gibi sitelerde yavaşlık yaşıyorum.","","","",""
"Superonline İnternet 5. Gününde Hala Kullanamıyorum","https://www.sikayetvar.com/superonline/superonline-internet-5-gununde-hala-kullanamiyorum","Taner","17 Mayıs 16:16","47","Bugün Superonline'a geçişimin beşinci günü ve 12 saat bile internet kullanamadım. Müşteri temsilcisi yeterli bilgiye sahip değil; dün saat 17:00'de kayıt oluşturdum ancak şu ana kadar kimse gelmedi. 24 saat içinde çözüleceği söylenmişti ama 25 saat geçti. Müşteri temsilcisi, dolaşan ekiplerin numara","...","","",""
"Superonline İnternet Sıkıntı Sorunları","https://www.sikayetvar.com/superonline/superonline-internet-sikinti-sorunlari","Ekrem","17 Mayıs 16:15","214","Superonline bağlantı ve sürekli kesinti, diğer odalardan internet çekmemesi konusunda yaşadığım sorunları dile getirmek istiyorum. Merhaba, çok uzun yıllardır Superonline üyesiyim. Son bir yıldır sürekli internet kesintisi, duraklama ve diğer odalardan çekmeme gibi sorunlar yaşıyorum. Her yenilenmed","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Superonline İnternet Şikayeti","https://www.sikayetvar.com/superonline/turkcell-superonline-internet-sikayeti-8","Bünyamin","17 Mayıs 15:58","451","0023470366 abone numaralı Turkcell Superonline fiber internet müşterisiyim. İnternet bağlantımda problem yaşadığımı müşteri hizmetlerine bildirmeme rağmen herhangi bir çözüm sağlanamamıştır. Teknik servis talep ettiğimde, internetimde hiçbir problem olmadığını söyleyerek servis ücreti talep edilmekt","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Şikayetçiyim Bu Durumdan","https://www.sikayetvar.com/superonline/superonline-sikayetciyim-bu-durumdan","Zamira","17 Mayıs 15:50","178","Benim sözleşme bitiyormuş ama ben yurt dışında olduğum için otomatik 650 lira fatura gelmiş. Ben bunu ödemek istemiyorum. 150 liradan 650 liraya nasıl çıkar ya, bir de interneti kapatmışlar. Bu durumu nasıl çözebiliriz bilemiyorum. Acaba ne yapabilirim.","","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Superonline WIFI6 Modem Değişim Sorunu Hk","https://www.sikayetvar.com/superonline/superonline-wifi6-modem-degisim-sorunu-hk","Ömer","17 Mayıs 14:45","477","Merhaba, Superonline internet bağlantımda yavaşlık olduğu için ""WIFI6 modem değişim talebi"" açtım. Yetkili servis beni aramadan talebimi kapatıyor. Daha önce iki defa kendi kendine talebimi kapatmışlar. Üçüncü defa talep açtım. Ya farklı bir numarayı açıyorlar ya da aramadığı halde aradım deyip sis","...","#Modem","https://www.sikayetvar.com/superonline/modem","https://files.sikayetvar.com/complaint/2880/28804892/superonline-wifi6-modem-degisim-sorunu-hk-1_768x768.jpg"
"Superonline Yordunuz Bizi","https://www.sikayetvar.com/superonline/superonline-yordunuz-bizi","Taner","17 Mayıs 14:45","157","Turkcell Superonline 62654037 müşteri numaranıza tanımlı Game+ 'Yeniden Evde Oyun Keyfi' kampanyası ile faydalandığınız hizmetiniz yeniden aktifleşmiş ve ücretlendirilmeniz başlamıştır. Taleplerinizi Turkcell uygulamasından ve web sitemizden kolayca gerçekleştirebilirsiniz. Https://dijital. Li/tKVu5","...","","",""
"Turkcell İnternet Altyapı Sorunları","https://www.sikayetvar.com/superonline/turkcell-internet-altyapi-sorunlari","Can","17 Mayıs 14:43","158","Ümraniye'ye ne zaman fiber internet gelecek? Hiçbir firma ilgilenmiyor. Türk Telekom, Turkcell gibi firmaların da ilgisizliği nedeniyle köy yerinden bir farkımız kalmadı. Yaşadığımız yer için umarım kısa zaman içinde çalışmalarınız başlar. İstanbul Ümraniye Finanskent Mahallesi adına yazıyorum, umar","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Ev İnterneti Kesintisi","https://www.sikayetvar.com/superonline/superonline-ev-interneti-kesintisi-23","Adem","17 Mayıs 14:36","245","Superonline en internet kesintisi. Evimde aktif olarak kullandığım internet bir anda kesildi ve 5 gün geçmesine rağmen ne internet geldi ne arıza ekipleri. Her gün arıyorum kayıt açıldı ekipler gelecek deyip duruyorlar ama kimsenin ilgilendiği yok mağduriyet hat safhada. Ne zaman gelecek internetim","...","#ADSL","https://www.sikayetvar.com/superonline/adsl",""
"Superonline Fatura Gönderilmemesi Ekstra Ödeme Çıkması","https://www.sikayetvar.com/superonline/superonline-fatura-gonderilmemesi-ekstra-odeme-cikmasi","Ümit","17 Mayıs 14:35","219","Superonline ev interneti kullanıyorum. Bugün saat 10:28'de '300 TL fatura' diye bir mesaj geldi. İçerisine girip baktığımda 160 TL açma-kapama bedeli yansıtıldığını gördüm. Müşteri hizmetlerini aradığımda bana, ayın 1'inde fatura kesildiğini ve ayın 13'ünün son ödeme tarihi olduğunu bildirdiler. Ned","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"","","Ahmet","17 Mayıs 18:01","284","","","","",""
"","","Seda","17 Mayıs 14:28","93","","","","",""
"Turkcell Superonline Bayiileri Tarafından Rahatsız Ediliyorum","https://www.sikayetvar.com/superonline/turkcell-superonline-bayiileri-tarafindan-rahatsiz-ediliyorum","Fethiye","17 Mayıs 14:26","508","1 ay evvel ""taahütünüzün bitmesine 1 hafta kaldı"" diyerek Turkcell tarafından arandım. Tablet ve saat kampanyası ile bana sunulan en düşük paket 600 lira olduğu söylendi. O sırada Vodafone ile anlaştım Çünkü 600 TL ödeyemezdim. 1 hafta sonra Superonline aradım abonelik iptali için, daha taahhüdümün","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline Taşınma Sürecinde Yaşanan İnternet Problemi","https://www.sikayetvar.com/superonline/superonline-tasinma-surecinde-yasanan-internet-problemi","Mustafa","17 Mayıs 14:19","340","Turkcell Superonline hizmetini kullanmaktayım. 11783295 numaralı müşteriyim. Geçen hafta taşınma talebiyle nakil işlemi başlattık. 11.05.2024 tarihinde hesabımdan 600₺ kesileceği bilgisi verildi. Ancak yeterli port olmadığı için işlem gerçekleşmedi. 'Port getireceğiz' denildi; fakat ne gelen var ne","...","#Nakil","https://www.sikayetvar.com/superonline/nakil",""
"Turkcell Superonline Yüksek Miktarda Zam Yapması","https://www.sikayetvar.com/superonline/turkcell-superonline-yuksek-miktarda-zam-yapmasi","Seval","17 Mayıs 14:19","256","Dört yıldır Superonline internet kullanıcısıyım. Müşteri temsilcisi tarafından arandım ve taahhüdümün bitmesine yaklaşık iki ay kaldığını, yeni tarifenin 400 küsur lira olduğunu belirtti. Halihazırda ayda 269 lira ödüyorum ve 130 lira zam oldukça fazla. Bu nedenle Turkcell yetkililerine seslenerek f","...","","",""
"Turkcell Şikayet Tarife Değişikliği","https://www.sikayetvar.com/superonline/turkcell-sikayet-tarife-degisikligi","Hidayet","17 Mayıs 13:47","176","Uzun yıllardır Turkcell kullanıcısıyım. 17/05/2024 tarihinde gelen SMS ile 25.07.2024 tarihinde sona erecek olan sözleşmemin 2 ay öncesinde yenilendiğini öğrendim. Turkcell Superonline müşteri hizmetlerini aradığımda, tarafımdan onay alınarak sözleşme değişikliği yapıldığını söylediler. Ben, sözleşm","...","","",""
"Turkcell Superonline - Online Başvuru Sorunu","https://www.sikayetvar.com/superonline/turkcell-superonline-online-basvuru-sorunu-1","Mehmet","17 Mayıs 13:45","220","Superonline ""Online'a Özel Fiber 100 Mbps"" na başvuru yapmak istiyorum. Adres bilgilerini girdiğimde ""Seçtiğiniz adreste bulunan alt yapımızı detaylı kontrol edebilmemiz için “Sizi Aramamızı İster misiniz? “ bölümünden iletişim bilgilerinizi bırakmanızı rica ederiz. En kısa sürede sizi arayacağız. A","...","#Başvuru","https://www.sikayetvar.com/superonline/basvuru",""
"Superonline Superbox Düşük Hızdan Dolayı Aboneliği İptal Etmiyorlar","https://www.sikayetvar.com/superonline/superonline-superbox-dusuk-hizdan-dolayi-aboneligi-iptal-etmiyorlar","Onur","17 Mayıs 13:39","280","Superbox'ta talep edilen hız verilmiyor. En yüksek verilen hız 6 Mbps ve 1 hafta oldu. Superbox'ı aldığımdan beri iptal talebi oluşturuyorum fakat aranmadan sorun çözüldü olarak sisteme işleniyor. Verilen hız düşük olduğu için iptal etmek istiyorum ancak iptal işlemi gerçekleştirilmiyor.","","#Abonelik","https://www.sikayetvar.com/superonline/abonelik","https://files.sikayetvar.com/complaint/2880/28804116/superonline-superbox-dusuk-hizdan-dolayi-aboneligi-iptal-etmiyorlar-2_350x350.jpg"
"Turkcell Superonline İcra Sorunu Çözülsün!","https://www.sikayetvar.com/superonline/turkcell-superonline-icra-sorunu-cozulsun","Hakan","17 Mayıs 12:51","230","Turkcell Superonline üzerimde bulunan icra dosyasının borcunu ödediğim halde kimse yardımcı olup icramı kaldırmadı. Herhangi bir muhatap dahi bulamadım. En yakın zamanda icramın kalkmasını arz ediyorum. Yardımcı olmanızı istiyorum. Aksi takdirde dava açacağım.","","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme","https://files.sikayetvar.com/complaint/2880/28803615/turkcell-superonline-icra-sorunu-cozulsun-2_350x350.jpg"
"Turkcell Superonline Müşteri Temsilcisi Saygısız Kaba","https://www.sikayetvar.com/superonline/turkcell-superonline-musteri-temsilcisi-saygisiz-kaba","Adnan","17 Mayıs 12:17","344","Turkcell Superonline, saat 23:40'ta 0850 202 50 68 numaralı telefondan arayan temsilci, internet hizmeti hakkında bilgi vermek için aradı. Ben de kendisine bir soru yönelttim; ancak, temsilci beni ters bir şekilde uyararak telefonu yüzüme kapattı. Bu davranışıyla, müşteri temsilcisi olmanın gerektir","...","","","https://files.sikayetvar.com/complaint/2880/28803324/turkcell-superonline-musteri-temsilcisi-saygisiz-kaba-1_768x768.jpg"
"Superonline TV Ve İnternet Taşıma İşleme","https://www.sikayetvar.com/superonline/superonline-tv-ve-internet-tasima-isleme","Hande","17 Mayıs 11:58","236","Superonline'ın TV ve internet hizmetlerini kullanıyorduk. Evimizi taşıdık ve Superonline'ı da taşımak istedik. Müşteri temsilcisini aradığımızda yeni evimizin adresini sistemlerinde bulamadıklarını söylediler. Ne yapmamız gerektiğini sorduğumuzda, web sitesinden denememizi önerdiler ve görüşmeyi son","...","#Nakil","https://www.sikayetvar.com/superonline/nakil",""
"Turkcell Söyledikleri Yaptıkları Bir Değil","https://www.sikayetvar.com/superonline/turkcell-soyledikleri-yaptiklari-bir-degil","Gülşah","17 Mayıs 11:50","178","Taahhüt aylık 283 TL olarak belirtildiğinde kabul ettim ve paketi aldım. TV paketine ihtiyacım olmamasına rağmen 'TV paketi hediye' diyerek kendileri arayıp kurulumu gerçekleştirdiler ve üstüne aylık tutar 439 TL olarak faturalandırıldı. İletişime geçtiğimde TV'nin ücretli olduğu belirtildi. Kurulum","...","","",""
"Superonline, Kick.com Donma Sorunu","https://www.sikayetvar.com/superonline/superonline-kickcom-donma-sorunu","Onur","17 Mayıs 10:32","415","Kick.com donma sorunu! Merhaba, Superonline kullanırken Kick.com üzerinde donma sorunları yaşıyorum. Normal internet kullanımında veya hız testlerinde herhangi bir sorun olmazken Kick.com üzerinde sanki bağlantı throttling işlemine uğruyor ve kullanılamaz hale geliyor. Müşteri hizmetleriyle iletiş","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Fiber İnternet","https://www.sikayetvar.com/superonline/turkcell-fiber-internet-13","Ferhan","17 Mayıs 10:24","293","Turkcell fiber internet pişmanlığı: Avcılar bölgesinde yaşanan arızanın kaydını Halkalı bölgesine atıyorlar ve Halkalı bölgesi rutin dışı olduğu için ilgilenmiyor. Tekrar arıza kaydı da açamıyorlar. 25 gündür bu sıkıntıyı yaşıyoruz. Evden çalıştığımız için maddi ve manevi kayıplarımız oldu. Belgeler","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet","https://files.sikayetvar.com/complaint/2880/28802081/turkcell-fiber-internet-1_768x768.jpg"
"Superonline Bayi Şikayeti, Eksik Ve Ayıplı Ürün!","https://www.sikayetvar.com/superonline/superonline-bayi-sikayeti-eksik-ve-ayipli-urun","Emre","17 Mayıs 10:23","172","734***88 müşteri numaralı internet aboneliğimi 6 Mayıs 2024 tarihinde yeni taşındığım adrese bağlattım. Kurulum yapmaya gelen bayi çalışanları, içeriğinde tablet olan paketi almamı tavsiye ettiler. Mantıklı geldiği için tekliflerini kabul ettim. Bir veya iki gün sonra saha personelleri tarafından ta","...","","",""
"Superonline Son 1 Aydır Akşam Saatleri Büyük Yavaşlık Yaşanıyor","https://www.sikayetvar.com/superonline/superonline-son-1-aydir-aksam-saatleri-buyuk-yavaslik-yasaniyor","Furkan","17 Mayıs 09:46","545","Superonline 100/20 fiber kullanıcısıyım, son bir aydır Twitch gibi canlı yayın platformları, Reddit gibi yabancı forumlar ve birçok yabancı çıkışlı web sitelerinde, özellikle akşam saatlerinde muazzam bir yavaşlama mevcut. Sanki internet hızım 100 Mbps'ten 10 Mbps'ye düşmüş gibi, hatta daha kötüsü,","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Superonline İnternet Arızasını Çözmüyor","https://www.sikayetvar.com/superonline/turkcell-superonline-internet-arizasini-cozmuyor-1","Fatih","17 Mayıs 04:26","228","14.05.2024 gecesinden beri 3 günü aşkın süredir internetim kesik. Defalarca müşteri hizmetleriyle görüştüm ve her arayışımda aynı cevaplarla geçiştirildim. İlk 48 saat içerisindeki yalanları sorunumun 24-48 saat içerisinde giderileceğiydi 48 saatin dolmasıyla tarafıma 16 Mayıs günü için 18-21 saatle","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi","https://files.sikayetvar.com/complaint/2880/28801156/turkcell-superonline-internet-arizasini-cozmuyor-1_768x768.jpg"
"Superonline Evimdeki İnternet Problemi Ve Hizmet Ücretlendirmesi","https://www.sikayetvar.com/superonline/superonline-evimdeki-internet-problemi-ve-hizmet-ucretlendirmesi","Orkun","17 Mayıs 01:58","296","Turkcell Superonline evimde sıkıntı yaşıyorum, ekiplerin evime ücretli olarak geleceğini söylüyorlar. İnternetin 100 Mbps hızında olduğu belirtilmiş fakat bu hızı alamıyorum. İnternet bağlantısı kurduğumda hiçbir şekilde bu hızı göremiyorum, evimin içinde dahi çekmiyor. Ekiplerin ücretli olarak gele","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Superonline ''fiber'' Stabil Olmayan Hız Problemi","https://www.sikayetvar.com/superonline/superonline-fiber-stabil-olmayan-hiz-problemi","İbrahim","17 Mayıs 00:59","485","77237633 numaralı abonenizim. Mevcut paketim 500 Mbps, görünürde internet hızı 500 Mbps ama yeri geliyor Twitter sayfası bile açılmıyor. Genelde 90-100 Mbps veriyor ama o rakamda bile hayli hayli açılması gereken Twitter, Youtube.com gibi sayfalar açılmıyor, akıcı bir şekilde kullanım sağlayamıyorum","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet","https://files.sikayetvar.com/complaint/2880/28800724/superonline-fiber-stabil-olmayan-hiz-problemi-1_768x768.jpg"
"Superonline Fatura Sorunu Ve Mağduriyetim","https://www.sikayetvar.com/superonline/superonline-fatura-sorunu-ve-magduriyetim","Tuğba","17 Mayıs 00:29","220","2024 Mart ayında biten 0052293354 abone numaralı Superonline üyeliğime ait son faturayı ödediğim halde, tarafıma hala fatura yansıtılması ne anlama geliyor? Sözleşmem bitmiş bir faturayı hala takip etmek zorunda mıyım? Her ay yansıtılan küçük rakamları fark etmesem, üzerine bir sürü gecikme bedeli e","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline Bitmeyen İnternet Problemleri","https://www.sikayetvar.com/superonline/superonline-bitmeyen-internet-problemleri","Recep","16 Mayıs 23:56","322","Yirmi yıldır evimde internet kullanıyorum ve hayatımda bu kadar kötü bir bağlantıyla karşılaşmadım. İddia edilen 200 megabit internet hizmeti alıyorum ve şehrin merkezinde olmama rağmen sürekli olarak evde kendi mobil internetimi kullanmak zorunda kalıyorum çünkü internet bağlantısı sürekli olarak k","...","","",""
"Superonline 144p'de Bile Kasan İnternet: Video İzleme Çilesi!","https://www.sikayetvar.com/superonline/superonline-144pde-bile-kasan-internet-video-izleme-cilesi","Taygun","16 Mayıs 23:24","241","15 gündür Twitch kick Netflix gibi platformlardan video izleyemiyorum. Her geçen gün dahada kötüleşiyor. İyice eziyete döndü 144p de bile kasan bir internetle daha devam etmek istemiyorum. Ya acilinden sorunu düzeltin ya da operatör değiştireceğim...","","#Hız Testi","https://www.sikayetvar.com/superonline/hiz-testi",""
"Superonline Fiber Hızında 3G Tadında: İzleme Keyfi Nerede?","https://www.sikayetvar.com/superonline/superonline-fiber-hizinda-3g-tadinda-izleme-keyfi-nerede","Mehmet","16 Mayıs 23:17","187","Turkcell Superonline, pişmanlık yaratıyor. Bir dizi izlemek istiyorum ancak kesinlikle düzgün bir şekilde izleyemiyorum. Sürekli kasıyor, sanki 3G internet kullanıyormuşum gibi. Oysa fiber internet kullanıyorum. Ayrıca, her gün arayıp, zaten 200 lira ödediğim faturaya 'en ucuz tarife'ymiş gibi 450 y","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Fazlasıyla Kötü Bir Hizmet Sadece Para Kazanmak Dertleri","https://www.sikayetvar.com/superonline/superonline-fazlasiyla-kotu-bir-hizmet-sadece-para-kazanmak-dertleri","Alp","16 Mayıs 23:17","103","Aklını, parasını ve zamanını seven kişiler evde Turkcell internet kullanmamalıdır. Müşteri hizmetleri ilgisiz, sadece para verin, kapatalım diyorlar. Binamızda Turkcell altyapısı var ve 500 MB hızında internet kullanmama rağmen, 50-60 MB hız alabiliyorum. Gerçekten yazık, hiç kimse bu durumu yaşamam","...","","",""
"Superonline Twitch Ve Kick De Canlı Yayın İzleyemiyorum","https://www.sikayetvar.com/superonline/superonline-twitch-ve-kick-de-canli-yayin-izleyemiyorum","Ares","16 Mayıs 23:16","495","Superonline kullanıyorum kick ve Twitch canlı yayını izleyemiyorum. VPN açınca ise izleyebiliyorum bir sıkıntı olmuyor. Son 1 haftadır bu sorunu yaşıy","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Superonline Abonelik Başvurusu","https://www.sikayetvar.com/superonline/turkcell-superonline-abonelik-basvurusu-2","Buğra","16 Mayıs 22:56","155","12401946 müşteri numaram ile 09/05/2024 tarihinde Turkcell Superonline abonelik başvurusu yaptım. 11/05/2024 tarihinde adresimde olmama rağmen telefona cevap verememem sebebiyle gelen giden olmadı. Randevu için aranacağım söylendi 4 iş günü oldu sadece randevu oluşturmak için her gün arıyorum. Her s","...","#Başvuru","https://www.sikayetvar.com/superonline/basvuru",""
"Superonline Teknik Destek Sıfır","https://www.sikayetvar.com/superonline/superonline-teknik-destek-sifir-9","Ali","16 Mayıs 22:50","146","Daha bugün TTNET'ten Superonline'a geçtim; ancak daha 2 saat geçmeden internetim gitti ve 5 saattir gelmedi. Arayan ya da soran olmadı. Arıza kaydı açtım ancak gerisi onların insafına kalmış. Kaç yıldır TTNET müşterisiyim ve sıkıntı olduğunda anında müdahale ediyorlardı. Fakat Superonline, 24 saat i","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
