"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text"
"","27 Kasım 2023 14:31","301","",""
"Ülker Hatalı Gıda Üretimi","27 Kasım 2023 12:47","283","Ç***** marketten aldığım Ülker Kanky Çilek Kremalı Bisküvi'yi çocuklarım severek yerdi. Geçenlerde bir kutu aldım, paketi açtığımda renksiz, tatsız ve kokusuz bir şey çıktı içinden. Bunları çocuklar tüketiyor; böyle bir şey nasıl olabilir, anlam veremedim. Yetkililerden dönüş bekliyorum.",""
"","27 Kasım 2023 09:09","172","",""
"Ülker Yenmiş Kekstra Kek","27 Kasım 2023 01:23","434","Ülker kekstra kek aldım jeli yoktu. Kim yediyse getirsin lütfen.",""
"Ülker Ürün Bozulması Ve Beyazlaması","27 Kasım 2023 01:23","624","23.11.2023 tarihinde Onur Market'ten 8'li Ülker Halley aldım, fakat paketi açtığımda tüketim tarihi daha gelmeden ürünün bozulduğunu gördüm. Çikolatası beyazlaşmış, renk ve desen bakımından çok garip bir görüntüsü vardı. Bu paketi küçük bir çocuk da açıp yiyebilirdi. Yapılması gerekenler için şimdid","..."
"Ülker Çikolata Bozuk Çıkması","26 Kasım 2023 23:21","221","Ülker markasına ait 14 g Antep fıstıklı çikolata bozuk çıktı. Ürünün tarihi geçmemiş olmasına rağmen çikolatanın yapısı bozulmuş; yerken ufalanıyor ve rengi de bozuk. Oğluma her zaman aldığım ve çocukların tükettiği bu ürünün kalitesine dikkat edilmesi gerekiyor. Ülker gibi köklü bir firmadan beklen","..."
"Ülker Jelibon Küflenmişti (kapalı Paket)","26 Kasım 2023 22:43","118","Son kullanma tarihi geçmemesine rağmen (hala paket üzerinde ki son kullanma tarihine 1 yıl var) paketi açar açmaz çok kötü koktu. Baktık ki küflenmiş kötü bir haldeydi. Hiç beklemezdim. Böyle köklü bir markadan. Daha dikkatli olunmasını rica ediyorum.!",""
"Ülker Olala Suflenin İçinden Kurtçuk Çıkması","26 Kasım 2023 21:25","1.224","Ülker olala mini sufle yerken içinden garip beyaz bir şey çıktı. Muhtemelen kurtçuk tadı ekşi tuzlu gibi bir şeydi. Hemen tükürdüm. Fotoğrafları da ektedir. Ülker gibi bir marka için gerçekten skandal bir şey bu. Önce un topağı sandım fakat sonra tadı da garip gelince tükürdüm.",""
"Ülker Albeni Bar Kek Bozuk Küflü Ürün","26 Kasım 2023 19:51","378","Yaklaşık 15-20 gün önce Konya Malas caddesindeki şok marketten 4 adet Ülker Albeni bar kek aldım. Daha sonra eve geldikten sonra birini açan kızım bar kekin tadının bozuk olduğunu hissedince ürünü incelemiş ve küflenmiş olduğunu görmüş. Birkaç gün sonra diğerini açtığında yine küflenmiş olduğunu gör","..."
"Ülker Çikolata Bozuk Çıktı","26 Kasım 2023 18:56","288","Bugün Şok Marketler'den aldığım Ülker marka fındıklı ve üzümlü çikolata yenecek gibi değil. Açar açmaz midemiz bulandı. Üzümlü olduğu için bir denemek istedik ama keşke almasaydık. Bu kadar bayat ve kötü bir çikolata daha önce görmedim. Yenecek gibi değil. Fişi de çöpe atmışım, çikolata da çöpe gide","..."
"Ülker'in Çikolatasının Bozuk Çıkması","26 Kasım 2023 18:48","161","26.12.2023 tarihinde Ülker'in bol sütlü kare çikolatasını aldım. Tarihi geçmemesine rağmen rengi tarihi geçmiş gibi görünüyor. Son kullanma tarihi 31.05.2024 olan ürün için Ülker'den anlayış bekliyorum. İlk kez Ülker'in bir ürününde böyle bir durumla karşılaştım ve Ülker yetkililerinden bu konuda de","..."
"Ülker İkram Bisküviden Arı Çıktı","26 Kasım 2023 17:41","156","Ülker İkram bisküvisinin 21 Kasım 2023 tarihinde içinden arı çıktı. Yedikten sonra fark ettim; ağzımda, dilimde ve damağımda dehşet verici bir acı hissi ile acil servise başvurdum. Dilimin bazı yerlerinde şişlikler oluştu. Hayatımda böyle bir şey yaşamadım. Paketli gıdalara Ülker sayesinde bir fobi","..."
"Ülker Çizi İçerisinden Kıl Çıktı","26 Kasım 2023 16:32","496","Ülker Çizi markasına ait bir üründe kusurlu bir durumla karşılaştım. Çizi bisküvisinin hamurunun içerisinden, insan vücuduna ait bir göğüs kılı çıktığını fark ettim. Ürün pişirildikten ve paketlendikten sonra bu durumu fark etmem, neredeyse tüketim aşamasına gelmişken oldu. İlginç bir şekilde kılın","..."
"Ülker Napoliten Sütlü Çikolata Bozuk Ürün","26 Kasım 2023 16:02","1.074","26.11.2023 tarihinde Ordu Şok marketten almış olduğum Ülker Napoliten Sütlü Çikolata bozuk çıkmıştır. 15.06.2024 son kullanma tarihli olup, 166/2LN1 2002 parti numaralı üründe bozulmalar, renk değişikliği, aşırı kötü bir tadı vardır. Ürün fotoğrafları ektedir. Yıllardır kullanmış olduğum Ülker marka","..."
"Ülker Bisküvide Değişik Koku Ve Tat","26 Kasım 2023 15:53","376","Marketten aldığım 4'lü paket Ülker Haylayf'ın o kendine has tadı ne de kokusu var. Sanki kötü yağdan yapılmış aşırı derecede rahatsız eden bir yağ kokusu gelmekte. Üzerinde şeker parçaları yok derecede az. Her zaman tercih etmiş olduğum Ülker'e yakışmadı. Alternatif markalara yöneleceğimi bildirmek","..."
"Ülker Çikolata Beyazlamış Bozulmuş","26 Kasım 2023 13:31","543","Ülker markasının kare bitter çikolatası bozuk çıktı. Her zaman aldığımız bir ürün olduğu için böyle bir durumla karşılaşmak üzücü oldu. Ürünün tarihi ile ilgili herhangi bir problem yok, ancak ürün bozuk. Bu konuyla ilgilenmenizi rica ediyorum. Bitter çikolata bembeyaz bir hale gelmiş; yani durum ge","..."
"Ülker Bozuk Ürün/saha Ekiplerinin Geri Dönmemesi.","26 Kasım 2023 13:02","1.977","Ülker Antep fıstıklı bitter çikolata bir hafta arayla aldığım halde (toplam iki kez) bozuk çıktı. Müşteri hizmetlerine ulaştığım ilk tarih 21 Ekim günüydü. Bana çikolatayı saklamamı, evimden alacaklarını ve hafta içinde saha ekiplerinin ulaşacaklarını söylediler. Müşteri hizmetlerini her hafta sonu","..."
"Ülker Çikolata Aşkı Ürün Bozuk","26 Kasım 2023 10:44","423","Ülker'in yeni çıkan Fındık Aşkını çikolatasını aldım ve iki defada da bozuk çıktı. İlk yediğimizde beğendik, ardından iki defa daha aldık ve her ikisi de bozuk çıktı. Acaba tarihi geçmiş mi diye düşündük, fakat tarihi geçmemiş. Yetkililerin buna bir çözüm bulması gerekiyor. Ayrıca yeni çıkmış bir çi","..."
"Ülker Bozuk Ve Tadi Kotu","26 Kasım 2023 01:02","378","İki kez yaşadım. En sevdiğim ve zevkle yediğim bir çikolatanın tarihinin bir seneden fazla olmasına rağmen bozuk bir paket yarım çıktı. Benim için artık Ülker çikolata bitmiştir. Tadı kötü, rengi bozuk ve yarım çıktı. Böyle büyük bir firmada kalite kontrol süreçlerinden geçmeden nasıl piyasaya sürül","..."
"Ülker Haylayf Bisküviden Çıkan Kıl","26 Kasım 2023 00:29","299","Haylayf adında Ülker bisküvisi almıştık, zevkle yediğimiz bir üründü. Ancak içinden kıl çıktığı için güvenimizi kaybettik. Bundan sonra nasıl alıp yiyeceğiz? İçimiz bulandı, çok kötü olduk. Ülker bu hatayı nasıl yaptı, anlamadım. Çok üzgünüm ama kıl çıkması bizi çok kötü etkiledi.",""
"Ülker Üründe Kıl Çıktı","26 Kasım 2023 00:16","272","Kızım Ülker krispi taco aldı. Daha paketi açmasıyla üründe yapışmış kıl çıktı tabi muhatabım olan Ülker'i aradım seri numarasını sordular son kullanma tarihini sordular ürünün fotoğraflarını attım. Gelip inceleme için ürünü sizden alacaklar dediler hala gelen giden olmadı. Sorduğum soru şuydu hani e","..."
"Ülker Çubuk Kraker Ucunun Yanık Olması","25 Kasım 2023 23:21","375","Ülker çubuk krakeri yıllardır her gün tüketen birisi olarak bu sefer hayal kırıklığına uğradım. İsmim Mehmet. Az önce yediğimde ucunun yanık olduğunu fark ettim. Aslında çok seviyordum ama ucunun yanık olması beni üzdü. Belki sizin için basit görünebilir ama ben bu ürünün fanıydım ve en sevdiğim atı","..."
"Ülker Napoliten Çikolata Bozuk Çıktı","25 Kasım 2023 23:07","261","Ülker markasına ait Napoliten çikolata bozuk çıktı. Ürünün tarihi geçmemiş olmasına rağmen çikolatanın yapısı bozulmuş; yerken ufalanıyor ve rengi de bozuk. Oğluma her zaman aldığım ve çocukların tükettiği bu ürünün kalitesine dikkat edilmesi gerekiyor. Ülker gibi köklü bir firmadan beklentimiz bu d","..."
"Ülker'in Küflü Dido","25 Kasım 2023 22:53","568","Ülker Dido bugün aldığımız Dido çikolata küflü çıktı ve daha son kullanma tarihi 2024'e kadar. Ülker'den beklenmezdi, çocuklarımıza yediriyoruz. Bakmadan yedirsek sonuçlarının ne olacağını bilemiyorum. İnsanların sağlığıyla oynanmak başka bir şey değil Ülker!",""
"Ülker İleri Tarih Gözüken Bozuk Ürün","25 Kasım 2023 22:30","361","Bugün marketten aldığım Ülker çikolatalı gofret mini paketinin içinden çıkan çikolataların tarihi ileri olmasına rağmen bozuk çıktı. Tamamının üzeri beyazlaşmış durumdaydı. İleri tarihte bir üründe böyle bir şeyin olmasına anlam veremedim. İlgilenilmesini rica ediyorum.",""
"Ülker Almış Olduğum Ürün Paketten Yarım Çıktı","25 Kasım 2023 22:16","171","Ülkerden almış olduğumuz, Ülker ( çikolata fındık krokanlı ve pirinç patlaklı ) paketi kapalı olmasına rağmen, içinden ürünler yarım çıktı. Severek kullanmış olduğumuz bir markaydı, bu durum bizi üzdü. Bununla ilgili bize dönüş yapılmasını istiyorum...",""
"","25 Kasım 2023 20:15","873","",""
"Ülker Halley Bozuk Ürün","25 Kasım 2023 17:57","351","Marketten geçen ay Ülker Halley 8li paket aldım abur cubur dolabına duruyor du. Bugün yemek için açtığımız da görüntü felaket ötesi idi. Ürün ambalajı kapalı ve SKT sine daha olduğu halde bozulmuş üstelik 1 2 tanesi değil hepsi bozul bir haldeydi. 30 40 TL para verip alınan ürün",""
"Ülker Mcvities Bozuk Ürün Satıyor","25 Kasım 2023 16:44","243","Mcvities bozuk bisküvi satıyor. Bu kaçıncı aldığım ürün ama sürekli bozuk çıkıyor üstelik küçük kardeşim yanlışlıkla yemiş. Pakette iğrenç bir koku vardı. Bozuk ürün satmanın bahanesi olamaz hem çok pahalı satın hem bozuk. Ayrıca yazılan şikayetlere geri dönmeye tenezzül bile etmiyorlar.",""
"Ülker Çikolata Bozuk Çıktı","25 Kasım 2023 15:25","476","Aldığım çikolatanın üzerinde bozulduğuna işaret eden küçük lekeler var; küf gibi mavi renkli ve üstü ezilmiş durumda. Markası Dido'nun çilekli çeşidini, kardeşim için A101'den aldım. Aldığım çilekli Dido çikolatanın üzerinde erimiş, mavi lekeler bulunmakta ve bu durumdan dolayı şikayetçiyim.",""
"Ülker Çikolata Bozuk Çıktı","25 Kasım 2023 14:32","318","Ülker Antep fıstıklı çikolatayı dün aldım ve tarihi geçmemesine rağmen çikolata bembeyaz çıktı. Tattığımda da tadında bir değişiklik var gibi geldi. Bu durum beni çok üzdü. Öğrenciyim, her zaman alabileceğim bir çikolata değil ve aldığımda da böyle bir sorunla karşılaşmak tam bir hayal kırıklığı yar","..."
"Ülker Çikolata Bozuk Ürün","25 Kasım 2023 13:55","203","Bugün satın aldığım Ülker markasına ait beyaz çikolatada beyaz lekeler bulunmakta ve tadı da beklediğim gibi değil. Bu durumdan dolayı şikayetimi dile getirmek istiyorum. Ülker gibi köklü ve kurumsal bir firmanın ürün satışı ve satış sonrası süreçlerine daha fazla özen göstermesi gerektiğini düşünüy","..."
"Ülker Çiziviç Krakerde Kıl Çıktı","25 Kasım 2023 02:59","537","Zeytinyağlı ve kekikli çiziviç kraker yerken ısırdığım krakerin kremasına gömülü vaziyette bir kıl gördüm. Fotoğrafta da göründüğü gibi dışarıdan girmesi düşmesi mümkün olmayan bir yerde duruyor maalesef, yani üretim sırasında oraya yerleştiği çok açık. Fark ettikten sonra midem bulandı yemeye devam","..."
"Ülker Üründe Kıl Çıkması","25 Kasım 2023 01:13","429","Ülker Coco Star çikolata aldım. Isırdığımda içinden uzun ve dolanmış bir kıl çıktı. Lütfen dönüş yapmanızı bekliyorum. İki yaşında kızım var; iki tane aldım. Bir tanesi açılmadı ve şu anda duruyor, diğerinde ise uzun bir kıl mevcut. İçindeki kılın fotoğraflarını çektim. Lütfen dönüş yapmanızı bekliy","..."
"Ülker Altınbaşak Grissini Ürününde Kurt","25 Kasım 2023 00:07","1.443","Aldığım Ülker altınbaşak grissini ürününde kurt çıktı. Daha önce de ikram ürününde plastik çıkmıştı. Konu ile ilgili sonuçlanma dönüşü yapılmadı. Ne olacak bu durum? Bir kurt bir plastik; başka görmediğimiz, gözden kaçan neler var? Hadi yetişkinlerde çok fark etmiyor da bu ürünleri tüketen çocukları","..."
"Ülker Halley İn İçinden Parça Çıktı","24 Kasım 2023 23:14","442","Kızımın yediği Ülker Halley içerisinden sert, tüylü bir cisim çıktı. İnsan hayatı bu kadar ucuz olmamalı. Peki boğazına takılsaydı, kim bunun hesabını verecekti? Koskoca Ülker bunu yaparsa, biz kime güvenip yiyeceğiz ve yedireceğiz? Herkes duysun ve bilsin istiyorum. Mail attım, kendi adreslerine il","..."
"Ülker Ürün Bozuk O Yüzden","24 Kasım 2023 22:49","126","Sürekli olarak aynı ürünü satın alıyorum ancak ürün defalarca bozuk çıkıyor. Rengi garip ve bu durumun neden kaynaklandığını anlayamadım. Eğer bir çözümü varsa lütfen yardımcı olun, çünkü her seferinde aynı sorunla karşılaşıyorum. Zehirlenme riski taşıdığımız için çözüm bulunmasını rica ediyorum. Dö","..."
"Ülker Fındıklı Çikolata Bozuk","24 Kasım 2023 22:32","250","Son kullanma tarihi geçmemiş olmasına rağmen bozuk olan bu çikolata, Ülker markasına hiç yakışmadı. İnsanların sağlığıyla oynanmamalı, eğer çocuğuma verseydim fark etmeden büyük bir sorun yaşayabilirdik. Benzer durumlarla birden fazla karşılaştım ve artık yazma gereği duydum. Ülker markalı çikolatal","..."
"Ülker Bozuk Küflenmiş Ürün","24 Kasım 2023 22:15","86","Merhaba, 23.11.2023 tarihinde BİM marketten aldığım Caremio çikolata beyazlamış ve küflenmiş bir şekilde çıktı. Ya ben fark etmeseydim ve çocuğum yiyip zehirlenseydi, ne olacaktı? Bunun hesabını kim verecekti? Ülker'e hiç yakıştıramadım. İnsan sağlığı bu kadar ucuz olmamalı. Bir daha nasıl güvenip a","..."
"Ülker Fahiş Fiyatlı Mal Satmak","24 Kasım 2023 20:55","524","A101'den 22/11/2023 tarihinde Ülker çikolatalı gofret aldım (36 gram). 2 aydır 4.75 TL'den alıyordum, eve geldiğimde 6 TL yazıldığını gördüm. Bunun üzerine 1. Sanayi Sitesi Çamdibi Mersinli İzmir şubesine (aldığım yere) gittim, rafa baktığımda ürün yoktu. Kasaya sorduğumda fiyata zam geldiğini söyle","..."
"Ülker İade Raf Dizilimi","24 Kasım 2023 18:32","1.224","Ülker tarihi geçen bisküvileri son 9 aydır almıyorlar. Gelen elemanlar ürünleri rafa dizmiyorlar, kaç defa elemana söyledik ancak oralı olmadılar. Adıyaman Ülker bayisi bu konuda hiç yardımcı olmuyor. Gereğinin yapılmasını dilerim. Adıyaman Karagöz Gıda.",""
"Ülker Çubuk Kraker Yanmış Ürün Satıyor","24 Kasım 2023 18:14","677","Eskişehir şehir hastanesinden çocuğum için almış olduğumuz 30/04/2024 tavsiye edilen tüketim tarihli Ülker çubuk kraker ürününün içindeki krakerlerin çoğu yanmış durumda. Bu ürün nasıl kalite kontrolden geçiyor. Ürüne ait tüm fotoğrafları ekliyorum. Gerekenin yapılmasını istiyorum.",""
"Ülker Bozuk Halley Pütür","24 Kasım 2023 17:47","231","Merhaba Ülker, uzun zamandır severek yediğim Halley üzerinde pütür şeklinde bozulma var. Daha önce hiçbir şekilde böyle bir şey ile karşılaşmadım, hep aldığım yerden bu şekilde çıkması şaşırttı. Son tüketim tarihin de geçmemesine rağmen 25.02.2024 bu şekilde bir olay ile karşılaştım. İlgilenirseniz","..."
"Ülker Çikolata Çok Kötü Görüntüsü Bile Yeterli","24 Kasım 2023 17:01","366","Aldığım Ülker çikolata bayat ve kötü bir tat bıraktı, bozuk gibi. Bu, bir çikolatadan beklenen kalite değil. İnsanın çikolataya bakınca iştahı kaçıyor. Defalarca karşılaştığım bu durum kabul edilemez. Markanıza olan güvenimle tercih ettiğim bu ürünlerin kalitesinin bu denli düşük olması hayal kırıkl","..."
"Ülker Makarneks Neden Yok Gelmeyecek Mi","24 Kasım 2023 12:37","2.297","Makarneks neden artık satışta yok, geri gelmesini istiyorum. Herkes severek tüketiyordu. 2024 yılında geri geleceğiyle ilgili bir haber okudum, doğru mudur? Eğer gelecekse, eskisiyle aynı tatta olmasını bekliyoruz. Ülker, cevabınızı ileteceğinizi bekliyorum.",""
"Bozuk ve Üzeri Beyazlaşmış Ülker Albeni Çikolata","24 Kasım 2023 11:20","394","Bugün satın aldığım Ülker markasına ait Albeni çikolatada beyaz lekeler bulunmakta ve tadı da beklediğim gibi değil. Bu durumdan dolayı şikayetimi dile getirmek istiyorum. Ülker gibi köklü ve kurumsal bir firmanın ürün satışı ve satış sonrası süreçlerine daha fazla özen göstermesi gerektiğini düşünü","..."
"Ülker Bayatlamış Çikolata Sorun Sorunun Giderilmesini İstiyorum","24 Kasım 2023 09:52","179","Merhabalar, aldığım Ülker çikolatası bayatlamış çıktı. Biz Ülker'e güvenemeyeceksek ne yapacağız? Acaba benim çocuğum bayatlamış çikolatayı yiyip zehirlenebilir miydi? Sorunumun çözülmesini istiyorum. Şu ana kadar Ülker ürünlerinden başka bir ürün kullanmadım ama artık Ülker'e de mi güvenemeyeceğiz?",""
"Ülker Halley Büyük Paket Aldık Bozulmuş","24 Kasım 2023 08:36","323","Ülker markasını kaliteli olduğu için tercih ediyorum ancak son zamanlarda sıkça bu tür sorunlarla karşılaşıyorum. Çikolatadan hiç memnun kalmadım. Daha önce de gofretiniz yarım eksik ve gramaj olarak da eksik çıkmıştı. Bu seferki Halley ise pütürlü, çok değişik bir durumda, bozulmuş olabilir, emin d","..."
"Ülker Olala Sufle Kapalı Kutu İçinden Ölü Sinek Çıktı","24 Kasım 2023 03:41","1.167","11.24.2023 tarihinde marketten almış olduğum olala sufle paketini açarken içerisinde ölmüş bir sinek olduğunu fark ettim. Sinek içerisinde o kadar çok uzun süre kalmış ki kurumuş. Ülker firmasına hiç yakıştıramadım. Konu ile alakalı yardımcı olmalarını temenni ediyorum",""
"Ülker Albeni Kurabiyem Eksik Çıktı","24 Kasım 2023 02:42","374","Seyhanlar marketten 14.11.2023 günü almış olduğumuz Ülker Albeni kurabiyem içerisinden 8 adet çıkacağına 7 adet ( 1 adet eksik ) çıktı. Görseli ekte mevcuttur. Şaşkınlıkla karşıladık ilk defa böyle bir durumla karşılaştık. Ne diyeceğimi bilemiyorum...",""
"Ülker Çocuklara Bozuk Çikolata Tehlikesi!","23 Kasım 2023 23:10","194","Ürünün adı çikolata olup, ürünün tarihi geçmemişken bozulmuş ve küflenmişti. Ben bu ürünü çocuklarıma veriyordum. Eğer vermeseydim, bu durumu kime ve nasıl hesap edecektim? Bu nedenle Ülker'den şikayetçiyim ve bir çözüm bulunmasını talep ediyorum. İsterseniz ürünün fotoğrafını da gönderebilirim, anc","..."
"Ülker Olala Suflemin İçinden Plastik Çıktı","23 Kasım 2023 22:39","309","Ülker Olala Suflemin içinden plastik çıktı! Suflemi yerken ağzımda sert bir cisim fark ettim. Çıkarttığımda ince uzun bir plastik parçası olduğunu gördüm. Bu sufleyi ben değil bir çocuk yeseydi belki anlayamayacak ve plastiği yutacaktı. Böyle bir dikkatsizlik kabul edilebilir gibi değil. Ülker gibi","..."
"Ülker Biskrem'de Beklenmedik Kıl Sürprizi!","23 Kasım 2023 21:21","309","Satın aldığım Biskrem paketinde bisküvilerden birinde kıl çıktı. Birkaç gün önce arkadaşlarımla sohbet ederken yediğimiz, piyasaya yeni sürülen, Ülker","..."
"Ülker Kalite Kontrolde Hata: Yanık Bisküvi Hayal Kırıklığı","23 Kasım 2023 21:13","435","Marketten Ülker ikram fındıklı 3'lü paket aldım. İçinden bir tane bisküvi ters basılmış ve yanık halde çıktı. Bu konuda şüphelendim ve yemekten vazgeçtim. Midem bulandı, çünkü yanmış gibi gözüküyordu. Ülker'den en kısa zamanda buna bir çözüm bulmasını istiyorum. Teşekkürler.",""
"Ülker Çekmeceli Çikolata Bozuk","23 Kasım 2023 19:45","386","Bugün bakkaldan aldığım çekmeceli çikolata bozuk çıktı; rengi beyazlamış gibi. Tarihi daha var ama nasıl böyle olabilir, anlam veremedim. Çocuğum fark etmeden yemiş. Eğer çocuğuma bir şey olursa sorumlusu sizsiniz, bilginize. Zararımızın karşılanmasını istiyoruz.",""
"Ülker Ürünün Renginin Farklı Olması","23 Kasım 2023 18:08","142","Ben Yeşim Ç****, Muğla Dalaman'dayım. Şok Market'ten Ülker Caramio almıştım, yemek için ambalajını açtım ancak rengi çok farklıydı. Nasıl tarif edebilirim bilmiyorum ama soluk bir renkti. Ürünün son kullanma tarihi de geçmemişti, anlam veremedim. Bu sorunu iletmek istedim. İyi günler dilerim.",""
"Ülker Kıl Çıkan Çikolata Şikayetinin Hiçbir Çözüme Ulaşmaması, Savsaklaması","23 Kasım 2023 17:59","579","İçinden kıl çıkan çikolata için yaptığım bildirim 1,5 aydır çözüme ulaşmıyor. Karmen adı altında üretilen ve Ülker markasının da bünyesinde olduğu Şok Marketler tarafından satılan ürünle ilgili https://www.sikayetvar.com/sok-marketler/sok-marketler-sok-markette-satilan-karmen-marka-urunden-kil-cikma","..."
"Ülker Son Kullanma Tarihi Geçmemiş Bozuk Çikolata","23 Kasım 2023 17:58","150","Çocukların çok sevdiği için bir kutu almıştım, ancak hepsi aynı şekilde bozulmuş ve son kullanma tarihi 2024. Lütfen geri dönüş yapmanızı istiyorum. Halbuki ürünü çok severek tüketiyorduk. Ürünlerle ilgili bütün detaylı resimler mevcut ve ürünleri hala saklıyorum, atmadım.",""
"Ülker Çikolatalı Gofret Aldım Bozuk Halley Aldım Bozuk","23 Kasım 2023 16:23","424","Ürünleriniz kötü geliyor. Gerçekten memnun değiliz, eskisi gibi değil; kuru çıkıyor. Küflü gibi geliyor. Aldığım Ülker çikolatalı gofret çok kötü, yani ürün hiç iyi değil. İsterseniz fotoğrafını da atabilirim. Bu durum için bir çözüm bulun, mağduruz.",""
"Ülker Bozuk Paketli Çikolata","23 Kasım 2023 16:03","471","Merhaba, kurban bayramında bayram çikolatası olarak Ülker'in paketli çikolatalarını almıştık daha sonra paketi açtığımızda çikolatalar sıcaktan mı artık ya da depolama sorunuyla mı ilgili bilmiyoruz bozuk çıktılar. Ülker ilgili birimi arayıp anlattım onlarda çikolataların gelip alacaklarını ve incel","..."
"Ülker Bayat Ve Şekerlenmiş Ürün","23 Kasım 2023 15:33","420","Merhabalar, benim ürünle alakalı bir sıkıntım var. Coco Star çikolatanın yeni üretim olan cipsli ürününü bugün aldım ve ürün kötü çıktı. Üstü beyazlamaya başlamış ve tadı kötüydü; bayatlamış ve şekerlemişti. Gereğinin yapılmasını arz ederim. Size güveniyorum, Ülker.",""
"Ülker Malzeme Azaltılması Ve Fiat Artışı","23 Kasım 2023 15:25","161","10'lu Ülker çikolatalı sandviç bisküvi aldım, içi oldukça azalmış olarak çıktı. Eskiden böyle değildi. Fiyatı artmışken, içerik miktarı azaltılmış. Kimse parayla değil ama fiyat artışı yapıyorsanız içeriği azaltmamalısınız. Bisküvi çok komik bir görünüme bürünmüş, bu duruma bir son verilmeli.",""
"Ülker Kurt Çıkması Çikolatadan","23 Kasım 2023 14:50","164","Ülker Napoliten sütlü çikolatanın içinden canlı kurt çıktı. Böyle bir durumun olması kabul edilemez. Bu konunun bir an önce ilgilenilmesini talep ediyorum. Ülker gibi bir firmadan böyle bir durum beklemezdim. Bundan sonra ne kendim almayı ne de başkalarına tavsiye etmeyi düşünmüyorum. İlgili yetkili","..."
"Bozuk Ülker Lavinia Çikolata","23 Kasım 2023 13:46","178","Ülker lavinia bozuk çikolata! Marketten aldığım Ülker lavinia çikolata bozuk cıktı. Önce parçalanmış sandım ama kokusu bir değişik tadına bakmaya cesaret edemdim. İki tane aldım ikisi de bozuk. Mağduriyetimin giderilmesini istiyorum. Ülkerden böyle bir sorun beklemezdim.",""
"Ülker Çikolatası Bozuk Çıktı!","23 Kasım 2023 10:02","904","21 Kasım tarihinde Yemeksepeti uygulaması üzerinden alışveriş yaptım ve Ülker'in bitter tablet çikolatasından 2 adet sipariş verdim fakat ürünü açtığımda bozuk olduğunu fark ettim ve Instagram'dan yazdım. Sadece ürünün parti numarasını ve iletişim numaramı istediler bende gönderdim fakat kimse geri","..."
"Ülker Bayat Çikolata Ve Son Kullanma Tarihi","23 Kasım 2023 01:32","166","Birkaç gün önce 2 paket Ülker bütün Antep fıstıklı çikolata aldım. Paketi açar açmaz renginden bir terslik olduğunu anladım. Koyu kahverengi olması gereken çikolata açık pembe ile bej arasında bir renge dönüşmüştü. Bir parça tadına baktığımda sert ve garip bir tadı olduğunu fark ettim. Diğer paketi","..."
"Ülker Ambalaj Bütünlüğü Bozuk Çikolatası Eksik","22 Kasım 2023 23:11","344","Migros'tan almış olduğum üçlü paket Ülker Fındık Aşkı çikolatasının bir adedinin iç ambalajı kapatılmamış ve çikolatası yarım çıktı. Ülker gibi köklü ve kaliteli bir firma, bu ürünleri kontrol etmeden piyasaya nasıl sürdü, şaşırtıcı. Gerçekten hayal kırıklığı oldu.",""
"Ülker Napoliten Çikolata Kurtlanmış","22 Kasım 2023 21:29","124","Bakkaldan aldığım Napoliten çikolatanın ilkinde herhangi bir sorun yoktu. İkincisini açıp baktığımda içinden kurtlanmış bir çikolata çıkması çok şaşırtıcıydı. Eğer bakmadan verseydim ya da kızım kendi başına açıp yese, kurtlanmış çikolatayı yiyecekti. Ayrıca tadı da çok tuhaftı. Yıllardır severek al","..."
"Ülker Marketten Alınan Tereyağının Bozuk Çıkması","22 Kasım 2023 21:29","412","Merhaba, iyi akşamlar. Dün bir marketten tereyağı almıştım ve üzerinde jelatin olmadığını fark ettim. Ayrıca yağın yeşermiş ve bozuk olduğunu gördüm. Ürünü evde muhafaza ediyorum, bilginize sunarım. Böyle büyük bir firma için bu durum hiç uygun değil ve ürün çok kötü kokuyor, bilginiz olsun Ülker.",""
"Ülker Ketçap İçinden Bilinmeyen Maddeler","22 Kasım 2023 21:21","140","",""
"Ülker Çikolatam Yarım Çıktı Beklemediğimiz Bir Hareket","22 Kasım 2023 20:50","92","",""
"Küflü Kek Bozulmuş Çikolata Ülker","22 Kasım 2023 16:49","1.005","Merhabalar, 15.11.2023 tarihinde Şok marketten Ülker Caramio çikolata aldım. Çocuklara vermek istedim ancak üzerinde renk değişikliği mevcut olduğunu fark ettim ve bu durumdan dolayı yedirmedim. Belli ki ürün bozulmuş. Bir hafta önce de yine Şok marketten Ülker'in Alpella mini rulo kekini almıştım v","..."
"Ülker Marketten Aldığım Bisküvi","22 Kasım 2023 16:30","393","Bugün marketten bisküvi aldım ve tarihine baktım; Haziran ayında üretilmiş. Böyle bir sorumsuzluk olamaz. Nasıl tarihi geçmiş ürünü piyasaya sürebilirler? Lütfen Ülker ilgilensin konuyla. Güvenerek alıyoruz. Böyle mi olması lazım? Belli markalara da mı güvenemeyeceğiz?",""
"Ülker Satış Pazarlama Hakkında","22 Kasım 2023 15:36","273","Antalya'da yeni bir tekel bayii açılışımız oldu. İlk siparişte gelen personelle indirim konusunda anlaşmazlık yaşandı. Biz de ilk siparişi iptal ettik fakat daha sonrasında 1 ay boyunca bir daha gelmediler ve kaydımızı sildiklerini söylediler. Unutmayın, Ülker ürünleri, spotçuların ya da farklı topt","..."
