"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","sv-model-button","sv-model-button href","ellipsis-text","large-view src","large-view src 2"
"TurkNet Ulaşılamaz Kraliçe Olması","https://www.sikayetvar.com/turknet/turknet-ulasilamaz-kralice-olmasi","Ahmethan","24 Mayıs 22:07","507","TurkNet internet müşteri hizmetlerinin ulaşılamaz olması ve müşteriyi telefon ile online sayfaya yönlendirmesi, ardından online sayfaya yönlendirip müşteri hizmetleri ile görüşün demesi beni bunalıma soktu. İki gündür internetim yok ama iki gündür ne hikmetse sürekli sistemlerine bakım yapıyorlar.","","","","",""
"TurkNet Ya Da Sadenet İnternetimi Kesti","https://www.sikayetvar.com/turknet/turknet-ya-da-sadenet-internetimi-kesti","İbrahim","24 Mayıs 21:33","446","Merhaba. Bizim alt yapımız vardı dairemiz de. Sadenet firmasında seneler boyunca altyapı ile net kullandık. 1 hafta öncesinde TurkNet geçiş yapmak istedik ve biz bir haftadır TurkNet'e geçeceğiz diye beklerken bizim alt yapımızı iptal edip bir başkasına vermişler. Ve de şu an hazır kullandığımız var","","","...","",""
"TurkNet Kesintisiz İnternet Vaadi Gerçekleşmedi","https://www.sikayetvar.com/turknet/turknet-kesintisiz-internet-vaadi-gerceklesmedi","Murat","24 Mayıs 21:20","580","Mevcut internet sağlayıcımı TurkNet'e taşıdım. Taşımadan önce de sordum, 'İnternetimde kesinti yaşar mıyım?' diye, çünkü bu bizim için çok önemli; eşim home office çalışıyor. İnternet şart. Onlar da bana hiçbir kesinti yaşamayacağımı söyledi ama şu an internetim yok ve arıyorum, kimseye ulaşamıyorum","#İnternet Kesintisi","https://www.sikayetvar.com/turknet/internet-kesintisi","...","",""
"TurkNet'in Mağduriyeti, Haksız Kazancı","https://www.sikayetvar.com/turknet/turknetin-magduriyeti-haksiz-kazanci","Burak","24 Mayıs 21:13","348","TurkNet'te yeniyim ama bu kadar kötü bir kurum olamaz. 5 Nisan'da abonelik işlemim başladı, en az 5 Mayıs'ta fatura kesilmesi gerekirken 16 Nisan'da 599.9 TL fatura geldi. Dahası, 11 Mayıs'ta 601.11 TL olarak ikinci fatura geldi. Yani, 5 Nisan'da abone oldum ve 11 Mayıs'a kadar 2 ayrı fatura geldi,","","","...","https://files.sikayetvar.com/complaint/2887/28874281/turknetin-magduriyeti-haksiz-kazanci-1_768x768.jpg",""
"TurkNet Müşteri Hizmetleri Ve İnternet Sorunları Deneyimim","https://www.sikayetvar.com/turknet/turknet-musteri-hizmetleri-ve-internet-sorunlari-deneyimim","Kaan","24 Mayıs 19:59","1.118","TurkNet'e büyük umutlarla geçiş yapmıştım, yer yer kullanıcılar tarafından övülen bir sağlayıcı olduğu için. Ancak durum hiç böyle çıkmadı. Öncelikle müşteri hizmetleri tam bir hayal kırıklığı. Telefon numarasından aradığımızda sesli görüşebileceğimiz bir temsilciye ulaşamıyoruz; sadece tuşlamalar y","","","...","",""
"TurkNet Pişmanlığı Kurulum Yapmadılar","https://www.sikayetvar.com/turknet/turknet-pismanligi-kurulum-yapmadilar","Kağan","24 Mayıs 19:15","445","1 hafta önce TurkNet'e internet başvurusu yaptım. 2-6 gün içinde kurulumun yapılacağı söylendi. 1 hafta geçti kurulumun yapılmadı. Bende iletişime geçtim. Türk Telekom'un bana ulaşamadığı için onay alamadıklarını söyledikler. Böyle bu durum yaşanmadı. Kimse beni aramadı. Türk Telekom bana ulaşamadı","","","...","https://files.sikayetvar.com/complaint/2887/28873145/turknet-pismanligi-kurulum-yapmadilar-2_350x350.jpg","https://files.sikayetvar.com/complaint/2887/28873145/turknet-pismanligi-kurulum-yapmadilar-1_350x350.jpg"
"TurkNet İlk Aydan 10 Güne 1 Aylık Ücret Kesintisi","https://www.sikayetvar.com/turknet/turknet-ilk-aydan-10-gune-1-aylik-ucret-kesintisi","Nisa","24 Mayıs 18:30","487","Kardeşimin üzerine olan TurkNet aboneliğini 5 Mayıs 24 de yaptık 400 TL fatura bedeli olarak. Kardeşim beni arıyor 22 mayısta abla internet kısıtlanmış diye evlerimiz ayrı bu arada kardeşimle. Ve 15 inde kesim tarihiymiş ama 400 TL kesilmiş. Pardon 10 günlüğe 400 TL kesmek mi. Faturanın tamamı bu na","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","",""
"TurkNet Hızı Fiber, Hizmeti Acı Biber","https://www.sikayetvar.com/turknet/turknet-hizi-fiber-hizmeti-aci-biber","Stratejik","24 Mayıs 16:41","407","İnternet için başvuru yapalı 22 gün oldu. 12 günde evrak işlemlerini tamamladılar. Bağlantıyı Türk Telekom yapıyormuş yasal süre 6 gün geçti ancak kurulum yapılamadı. Müşteri hizmetleri biz isteyince arıyor ancak çözüm kabiliyetleri yok. Sadece kayıt aldık bildiriyoruz diyorlar. Ezberletilen cümlele","#Fiber İnternet","https://www.sikayetvar.com/turknet/fiber-internet","...","",""
"TurkNet'te Konuşacak Bir Kişiye Ulaşmak Mümkün Gözükmüyor.","https://www.sikayetvar.com/turknet/turknette-konusacak-bir-kisiye-ulasmak-mumkun-gozukmuyor","Cengiz","24 Mayıs 16:33","562","Faturam fazla geldiği için müşteri temsilcisi ile görüşme yapmak istiyorum. Otomatik yanıtlama sistemi online işlemler web sayfasına yönlendiriyor. Oradan giriş deniyorum. Şifre istiyor, şifre olmadığı için şifre almak istiyorum. Sayfa takılı kalıyor (saatlerdir deniyorum). İnanılmaz maliyet düşürme","#Online İşlemler","https://www.sikayetvar.com/turknet/online-islemler","...","",""
"TurkNet Bağlantısı Yok Ve Adam Oyalıyorlar","https://www.sikayetvar.com/turknet/turknet-baglantisi-yok-ve-adam-oyaliyorlar","Ahmet","24 Mayıs 16:14","584","2 gündür internet bağlantısı yok. Fiber cihazında LOS ışığı kırmızı yanıp sönüyor. Arıza kontrolü yaptığımda Türk Telekom kaynaklı arıza diyor. Az önce tekrar baktım, şimdi de yarın çözülecek demişler. Kısaca 3 gündür internetimiz yok. Nereye kadar böyle sallayacaklar bizi? Her kontrol ettiğimde 1 g","","","...","",""
"TurkNet İnternet Kullanamıyorum. Teknik Ekip Yardımcı Olmuyor.","https://www.sikayetvar.com/turknet/turknet-internet-kullanamiyorum-teknik-ekip-yardimci-olmuyor","Furkan","24 Mayıs 14:13","560","3 gün önce TurkNet e geçiş yaptık, bize internet kesintisi yaşamayacağımız söylenmişti fakat 2 gündür internete erişim sağlayamıyoruz. Müşteri hizmetlerini arıyorum, 1 dakika bekleyin sizi teknik ekibe aktaracağım diyorlar fakat telefon kapanıyor ( bu durum üst üste 5 kere yaşandı) hiçbir şekilde be","#İnternet Kesintisi","https://www.sikayetvar.com/turknet/internet-kesintisi","...","",""
"TurkNet Verilen Sözlerin Tutulmaması (bağlantı Hız Ve Cgn İp Blogu )","https://www.sikayetvar.com/turknet/turknet-verilen-sozlerin-tutulmamasi-baglanti-hiz-ve-cgn-ip-blogu","Kerim","24 Mayıs 12:54","645","TurkNet tam bir pişmanlık, dakika 1 gol 1 dedikleri bu olsa gerek. 23/05/2024 tarihinde abonesi olduğum TurkNet, kendi sayfalarında bile altyapı sorgulamalarında 65 Mbps olurken, kendileri 100 Mbps sözüne rağmen 35 Mbps'in yukarısına çıkamadılar. Zaten burada olsaydı şaşıracağım için çok da önemseme","","","...","",""
"","","Güner","24 Mayıs 12:08","32","","","","","",""
"TurkNet'e Etim Şikayet","https://www.sikayetvar.com/turknet/turknete-etim-sikayet","Umut","24 Mayıs 11:00","488","Neredeyse 1 yıldır internet kesilme sorunu yaşıyoruz ve çözülmüyor. Her aradığımızda farklı sorunlar yaşıyoruz. Bıktık, yani aynı sorunu üst komşumuz da yaşıyor. Bir çözüm bulunsun artık. Müşteri hizmetleri kötü; ya işi bilmiyorlar ya da bilerek yapmıyorlar. Kesilmeler, hız düşmesi, kalitenin bozulm","","","...","",""
"TurkNet Beceriksizlik Hizmet Anlayışı","https://www.sikayetvar.com/turknet/turknet-beceriksizlik-hizmet-anlayisi","Serkan","24 Mayıs 10:31","595","TurkNet tarafından 3-4 aydır sürekli ev internetinde kopmalar olduğunu defalarca müşteri hizmetlerini arayarak bilgi veriyorum internetinizde bir problem yok yok modeminizde sıkıntı olabilir gibi sürekli oyalama yaptılar. Nisan 28 civarı tekrar ve ısrarla kayıt oluşturarak teknik destek yönlendirmes","#Hız Testi","https://www.sikayetvar.com/turknet/hiz-testi","...","https://files.sikayetvar.com/complaint/2886/28867413/turknet-beceriksizlik-hizmet-anlayisi-3_350x350.jpg","https://files.sikayetvar.com/complaint/2886/28867413/turknet-beceriksizlik-hizmet-anlayisi-5_350x350.jpg"
"TurkNet İnternet Hizmeti Vermiyor Modem Ücret İadesi Gerçekleştirmiyor","https://www.sikayetvar.com/turknet/turknet-internet-hizmeti-vermiyor-modem-ucret-iadesi-gerceklestirmiyor","Ygt","24 Mayıs 10:16","678","TurkNet abonelik işlemi yaptırmak istedim. Abone no: 3896995 kurulum için adrese geldiler. Kurulum yaptılar, 1690 TL lik bir modem satıp gittiler. Ertesi gün internet hizmeti alamadım. Modem iade etmek istediğimi belirttim. Piyasada 600 TL fiyatla modem bulunduğunu kabul etmediğimi belirttim. İşlem","","","...","",""
"TurkNet İnternet Bağlantısı Zayıf","https://www.sikayetvar.com/turknet/turknet-internet-baglantisi-zayif-1","Rumeysa","24 Mayıs 01:57","672","Gündüz saatlerinde internetim vardı bir sorun yoktu üstelik ödenmemiş faturam da yoktu. Gece saat 01:35 ve modemde kırmızı sabit ışık yanıyor ve resetlememe rağmen internet yok. Kabloları çıkartıp yeniden taktım, prizden çıkardım fişini. Bekledim bir süre ama halen internetim gelmedi, sorunun bir an","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","https://files.sikayetvar.com/complaint/2886/28866253/turknet-internet-baglantisi-zayif-1_768x768.jpg",""
"TurkNet Kullanıcı Adı Sorunu","https://www.sikayetvar.com/turknet/turknet-kullanici-adi-sorunu","Esra","23 Mayıs 21:05","753","Türk Telekom'dan TurkNet'e geçiş yaptım modem kurulumunu tam olarak yapamadım. Çünkü TurkNet modem kurulumu yaparken bana gönderdikleri mesajdaki şifre ve kullanıcı adını 192.186.1.1 e yazdığımda şifre hatalı diyor ve müşteri hizmetlerine ulaşamıyorum. Benim şifrem ne?","#Modem","https://www.sikayetvar.com/turknet/modem","","",""
"TurkNet Taahhüt Edilen İnternet Hızını Almak","https://www.sikayetvar.com/turknet/turknet-taahhut-edilen-internet-hizini-almak","Abdurrahman","23 Mayıs 20:51","710","Turk.net'ten almakta olduğum internetimin altyapısı Türk Telekom tarafından sağlanmakta. Bir süredir taahhüt edilen internet hızını alamamam ve sürekli bağlantımın kesilmesi nedeniyle arıza kaydıma Türk Telekom teknik ekiplerince dönüş yapıldı. Bulunduğum lokasyonda yer alan kabinin 75 Mbps'i destek","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","",""
"HangiKredi TurkNet Modem Sorunu Çözülmedi","https://www.sikayetvar.com/turknet/hangikredi-turknet-modem-sorunu-cozulmedi","Armagan","23 Mayıs 20:14","403","TurkNet'ten Kurumsal internet aboneliği talep ettik. Gelen kişi değeri600 TL ile 1500 TL olan Modemi 2500 TL den bize sattı. O anda piyasa fiyatını bilmiyorduk. Ertesi gün öğrendik ve aboneliğimizi iptal edip modemin iadesini istedik. Günlerce uğraştıktan sonra abonelik iptal oldu modemi geri almıyo","#Modem","https://www.sikayetvar.com/turknet/modem","...","",""
"TurkNet İnternet Kesiliyor Müşteri Hizmetleri İlgilenmiyor!","https://www.sikayetvar.com/turknet/turknet-internet-kesiliyor-musteri-hizmetleri-ilgilenmiyor","Mustafa","23 Mayıs 19:51","479","TurkNet internetim kesiliyor. Ve hiçbir türlü kimse ilgilenmiyor. Müşteri hizmetlerine söylüyorum bakmıyorlar bile. Dün internet yavaşladı bugün internet kesiliyor ve sorun devam ediyor hiçbir türlü bakmıyorlar. Destek kayıtlarına ve hala bekliyoruz bize dönecekler diye.","","","","",""
"Turk Net Hızı En İyisi İse Ölelim Bu İmkansızlıklarla Biz En İyisi.","https://www.sikayetvar.com/turknet/turk-net-hizi-en-iyisi-ise-olelim-bu-imkansizliklarla-biz-en-iyisi","Diyap","23 Mayıs 19:44","627","TurkNet çekmiyor. Günün en sakin anında aşırı yavaş olabiliyor. Neye göre, kime göre Türkiye'nin en hızlı interneti? Yavaşlayacağı tutunca bir sayfa açılacak diye çay demleyip geleceğiz az daha. Gecenin 2'sinde de, akşamın dibinde, sabahın köründe. Neye göre yavaşladığını bile anlayamıyoruz. Yoğun s","","","...","",""
"TurkNet Kurulum Sorunu Bağlantı Hatası","https://www.sikayetvar.com/turknet/turknet-kurulum-sorunu-baglanti-hatasi","Doğukan","23 Mayıs 18:59","558","TurkNet'ten internet bağlattık fakat kurulum yapmaya geldiklerinde kurulum yapmadan ayrıldılar. 1 aydır ulaşmaya çalışmamıza rağmen ulaşamıyoruz. Hiçbir şekilde telefon veya internetten yardımcı olmuyorlar. Kesinlikle çok pişmanız, ofisimizde işlerimiz çok aksadı. Yardım ve destek talep ediyoruz.","","","","",""
"TurkNet İnternet Yok Ve Talep Açmama Rağmen Kimse Aramıyor 2 Hafta Oldu!","https://www.sikayetvar.com/turknet/turknet-internet-yok-ve-talep-acmama-ragmen-kimse-aramiyor-2-hafta-oldu","Barış","23 Mayıs 18:16","666","TurkNet ile iletişime geçip evime internet bağlatmak istedim. Türk Telekom'dan gelip kurulumu yaptılar ancak TurkNet internet sağlayamadı. Konuyla ilgili dönüş yapılması için arıyorum ancak hiçbir şekilde kimse aramıyor. İki hafta geçti ve hâlâ bir çözüm yok. Evde internet yok ve bu durumun yarın öb","#Evde İnternet","https://www.sikayetvar.com/turknet/evde-internet","...","",""
"TurkNet Telefon Arızasının Giderilmemesi","https://www.sikayetvar.com/turknet/turknet-telefon-arizasinin-giderilmemesi-1","Hakan","23 Mayıs 17:13","517","TurkNet kullanıcısı olarak telefon arıza kaydım var neredeyse 2 ay olacak arızanın giderilmediği gibi sürekli olarak ekiplerimiz çalışmakta denmekte hiçbir aksiyon alınmamaktadır. Arıza müdahale tarihi sürekli ertelenmektedir. Almadığımız hizmetin bedelini ödeme konusunda gün geçirmiyorlar. Yeni kul","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","",""
"TurkNet Abone Fesih Olmasına Rağmen 3 Güne Tüm Ay Fatura Kesilmesi","https://www.sikayetvar.com/turknet/turknet-abone-fesih-olmasina-ragmen-3-gune-tum-ay-fatura-kesilmesi","İsmail","23 Mayıs 17:03","645","TurkNet aboneliğimizi ikamet adresi değişikliği dolayısıyla 18 Mayıs günü iptal ettirdim. 3 günlük fatura kesileceğini belirtmelerine rağmen bugün yani 23 Mayıs tarihinde 15 Mayıs - 14 Haziran faturasını tüm ay olarak kesip fatura gönderdiler. Müşteri hizmetlerine ulaşamıyorum.","#Fatura","https://www.sikayetvar.com/turknet/fatura","","https://files.sikayetvar.com/complaint/2886/28861945/turknet-abone-fesih-olmasina-ragmen-3-gune-tum-ay-fatura-kesilmesi-2_350x350.jpg","https://files.sikayetvar.com/complaint/2886/28861945/turknet-abone-fesih-olmasina-ragmen-3-gune-tum-ay-fatura-kesilmesi-4_350x350.jpg"
"TurkNet Nakil İşlemi Süreç Yetersizliği","https://www.sikayetvar.com/turknet/turknet-nakil-islemi-surec-yetersizligi","İsmail","23 Mayıs 16:38","636","14.05.2024 tarihli nakil talebim yasal süre dolmasına rağmen hala çözüme kavuşmuş değil. Süreç çok başarısız ve bilgilendirme olmadan otomatik mesajlarla yürüyor. Ne randevu verildi ne süreci takip ediyoruz dışında bir gelişme yaşandı. Konu hakkında açıklayıcı bir neden ve sebep bekliyorum. Problem","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","...","https://files.sikayetvar.com/complaint/2886/28861628/turknet-nakil-islemi-surec-yetersizligi-3_350x350.jpg","https://files.sikayetvar.com/complaint/2886/28861628/turknet-nakil-islemi-surec-yetersizligi-5_350x350.jpg"
"TurkNet İnternetimde Arıza Var Ve Çözüme Kavuşturmuyorlar","https://www.sikayetvar.com/turknet/turknet-internetimde-ariza-var-ve-cozume-kavusturmuyorlar","Ümraniye","23 Mayıs 16:01","397","TurkNet'ten 3897947 numaralı abonelik numarasıyla kurumsal internet ve telefon hizmeti alıyoruz. 21.05.2024 17:00 den beri internetimiz kapalı. Telefon numaramız aktif değil. Sinyal gitmediğinden masa başından yapamadıklarını saha ekiplerine yönlendirdiklerini ilettiler. Neredeyse 48 saat oldu defal","","","...","https://files.sikayetvar.com/complaint/2886/28861269/turknet-internetimde-ariza-var-ve-cozume-kavusturmuyorlar-1_768x768.jpg",""
"TurkNet Online İşlemler Giriş Yapamıyorum","https://www.sikayetvar.com/turknet/turknet-online-islemler-giris-yapamiyorum-1","Mustafa","23 Mayıs 16:01","665","+9054******46 numaraya kayıtlı TurkNet kullanıcısıyım. Numaramı aylar önce değiştirdim. Numaram değiştiği için TurkNet online uygulamasına aylardır giriş yapamıyorum. Müşteri hizmetlerini arıyorum. Temsilciye bağlanamıyorum. Lütfen bana ulaşın ve çözüm şunun.","#Online İşlemler","https://www.sikayetvar.com/turknet/online-islemler","","",""
"TurkNet DSL Sorunu: İki Aydır Çözüm Bekliyorum","https://www.sikayetvar.com/turknet/turknet-dsl-sorunu-iki-aydir-cozum-bekliyorum","Ekrem","23 Mayıs 14:54","767","TurkNet'e geçiş yaptım ve henüz ikinci ayda DSL ışığım yanmıyor. Arıza kaydı oluşturdum, modem kurulumu yapmam gerektiğini ve sonrasında düzeleceğini söylediler. Yaptım, ancak bir sonuç alamadım. Sonra geri dönüş yaptılar, hemen düzelteceklerini söylediler ve iki saat sonra bir mesaj bıraktılar. Uyg","","","...","",""
"TurkNet İnternet Aboneliği İptali","https://www.sikayetvar.com/turknet/turknet-internet-aboneligi-iptali-17","Mert","23 Mayıs 14:28","486","TurkNet internet kullanmaktayım. Taşınacağım için evimdeki eşyaları boşalttım. TurkNet'i arıyorum ama interneti kapatmak için karşıma yetkili birisi çıkmıyor kaç günlerdir bir interneti kapatmak için uğraşıyorum kapatamadım akıl işi değil. Evimdeki bütün abonelikleri iptal ettim ama TurkNet sağ olsu","","","...","",""
"TurkNet Yalan Beyan Verilmesi Ve Ekip Yönlendirilmemesi","https://www.sikayetvar.com/turknet/turknet-yalan-beyan-verilmesi-ve-ekip-yonlendirilmemesi","Eren","23 Mayıs 12:19","594","Daha önce de yaşandığı gibi binamızda başka bir daireye kurulum yapan arkadaşınız bizim 2893962 numaralı erişimimizin kopmasına neden oldu. Durumun altyapı kaynaklı olduğunu ve kayıt açmamızı söyledi, kaydı açtığımda ekiplerin yönlendirildiğini, kontrol için binamıza geleceklerini, hatta evden çalış","","","...","https://files.sikayetvar.com/complaint/2885/28858679/turknet-yalan-beyan-verilmesi-ve-ekip-yonlendirilmemesi-1_768x768.jpg",""
"TurkNet İnternete Erişim Vermiyor","https://www.sikayetvar.com/turknet/turknet-internete-erisim-vermiyor","Koray","23 Mayıs 10:41","541","TurkNet 2 gündür Türk Telekom kaynaklı arıza olduğunu bildiriyor ve arıza giderilemiyor. Bina sakinlerine soruyorum hepsinin İnterneti var fakat TurkNet İnternet sağlayamıyor bu konuda mağdur edildim. Yetkililer tam net cevap vermiyor sözde arıza bugün saat 9 gibi giderecekti TurkNet uygulamasında a","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","https://files.sikayetvar.com/complaint/2885/28857595/turknet-internete-erisim-vermiyor-2_350x350.jpg","https://files.sikayetvar.com/complaint/2885/28857595/turknet-internete-erisim-vermiyor-1_350x350.jpg"
"TurkNet Numara Değiştirme Problemi","https://www.sikayetvar.com/turknet/turknet-numara-degistirme-problemi","Çiğse","23 Mayıs 09:51","479","TurkNet numara değiştirmek için defalarca müşteri hizmetlerini arıyorum ancak asla yardımcı olmuyorlar, hepsi aynı numarayı veriyor. O numaradan da nu","","","...","",""
"TurkNet Fatura ""Son Ödeme Tarihlerini İleri Geri Oynatıyor"" Sorunu","https://www.sikayetvar.com/turknet/turknet-fatura-son-odeme-tarihlerini-ileri-geri-oynatiyor-sorunu","Tayfun","23 Mayıs 09:37","550","Merhaba, Müşteri hizmetlerinize bir haftadır ulaşamıyorum. Çağrı merkezi robotunuz, online sistem üzerinden işlem yapmamı öneriyor; ancak online sisteminizde beklenmedik bir hata oluştuğu için tekrar çağrı merkezinize yönlendiriliyorum. E-posta göndermeme rağmen geri dönüş alamıyorum. Son çare olara","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","https://files.sikayetvar.com/complaint/2885/28857122/turknet-fatura-son-odeme-tarihlerini-ileri-geri-oynatiyor-sorunu-2_350x350.jpg","https://files.sikayetvar.com/complaint/2885/28857122/turknet-fatura-son-odeme-tarihlerini-ileri-geri-oynatiyor-sorunu-1_350x350.jpg"
"TurkNet Evde İnternet Sorunu!","https://www.sikayetvar.com/turknet/turknet-evde-internet-sorunu-1","Burak","23 Mayıs 09:11","369","Düşmeyin TurkNet kadar kalitesiz bir internet sağlayıcısı olup, kendilerini bu kadar iyi pazarlayıp iyi bir internet sağlayıcısı olduklarını düşünen bir firma yoktur. Evimde iki gündür internet yok, internetten yokken altyapı sahibi t*** yüzünden ama güzel bir şey de biz t***'dan daha hızlıyız. Yahu","#Evde İnternet","https://www.sikayetvar.com/turknet/evde-internet","...","https://files.sikayetvar.com/complaint/2885/28856990/turknet-evde-internet-sorunu-1_768x768.jpg",""
"","","Ebuzer","23 Mayıs 08:58","298","","","","","",""
"TurkNet İnternet Bağlantı Sorunu","https://www.sikayetvar.com/turknet/turknet-internet-baglanti-sorunu-352","Can","23 Mayıs 02:44","361","TurkNet Son durum böyle fazla söze gerek görsel her şeyi anlatıyor.‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎","","","...","https://files.sikayetvar.com/complaint/2885/28856467/turknet-internet-baglanti-sorunu-1_768x768.jpg",""
"TurkNet Müşteri Hizmetlerinin İlgisizliği","https://www.sikayetvar.com/turknet/turknet-musteri-hizmetlerinin-ilgisizligi-17","Merve","23 Mayıs 01:59","392","Modemimin şifresini değiştirmem gerekiyor ancak ne yaptıysam başaramadım. Destek kaydı açtım ve çok kısa bir süre sonra aradılar. Ancak aramaları yaklaşık 2 saniye sürdü; telefona cevap verdiğimde görüşme sonlanmıştı. Aynı numarayı geri aradığımda müşteri hizmetlerine bağlanmam için bir tuşlama seçe","","","...","",""
"TurkNet Abonelik Aktivasyonu 15 Gündür Yapılmıyor!","https://www.sikayetvar.com/turknet/turknet-abonelik-aktivasyonu-15-gundur-yapilmiyor","Nazım","23 Mayıs 01:35","362","08.05.2024 tarihinde TurkNet internet aboneliği başvurusunda bulundum. Bu yazıyı 23.05 tarihinde yazıyorum ve hâlâ internet bağlantım yapılmadı. İlgili firma, aboneliğin 2 ile en fazla 6 gün arasında aktifleştirileceğinin garantisini verirken, 15. Gününde 1000 TL'yi aşan telefon faturamla birlikte","","","...","",""
"TurkNet İnternet Hizmeti Veremiyor","https://www.sikayetvar.com/turknet/turknet-internet-hizmeti-veremiyor-31","Seven","22 Mayıs 23:24","326","13 gündür internet bağlantım bulunmuyor. TurkNet'ten kimseye ulaşamıyorum, yetkili bir kişiye ulaşmak mümkün olmuyor. Otomatik ödeme alınıyor fakat internet hizmeti verilemiyor. Otomatik mesajlar dışında herhangi bir iletişim kurulamıyor. TurkNet hizmetinden tamamen hayal kırıklığına uğradım.","","","","https://files.sikayetvar.com/complaint/2885/28855435/turknet-internet-hizmeti-veremiyor-2_350x350.jpg","https://files.sikayetvar.com/complaint/2885/28855435/turknet-internet-hizmeti-veremiyor-1_350x350.jpg"
"TurkNet İnternet Çözüm Sorunu","https://www.sikayetvar.com/turknet/turknet-internet-cozum-sorunu","Demet","22 Mayıs 23:17","364","12 gün olmasına rağmen hala internet düzeltilmedi. Hala da ses yok fiber internete geçmek bu kadar zor olmamalı. Her temsilci aradığında şikayet kaydını açıyor bu kadar. Fatura kesimi geldiğinde günü gününde kesmeyi biliyorsunuz. Ne zamana kadar bu şekilde bekleyeceğiz","","","","",""
"TurkNet İnternet Kesintisi Hakkında","https://www.sikayetvar.com/turknet/turknet-internet-kesintisi-hakkinda-17","İbrahim","22 Mayıs 22:50","500","TurkNet aboneliğine geçiş yaptım. İlk zamanlarda internet gayet iyiydi. Ancak son bir haftadır internet yok. Destek kaydı oluşturmama rağmen problem çözülmüyor. Evden çalıştığımdan kaynaklı çok büyük sorun yaşıyorum. Konu hakkında acil destek talep ediyorum.","#İnternet Kesintisi","https://www.sikayetvar.com/turknet/internet-kesintisi","","https://files.sikayetvar.com/complaint/2885/28855149/turknet-internet-kesintisi-hakkinda-1_768x768.jpg",""
"TurkNet Benim İnternetim Bir An Önce Düzeltin","https://www.sikayetvar.com/turknet/turknet-benim-internetim-bir-an-once-duzeltin","İdris","22 Mayıs 21:37","336","Türk Telekom'dan TurkNet'e geçiş yaptım. İlk günden itibaren sıkıntı yaşamaya başladım. Şu an internetim kesinlikle yok. Sosyal medyadan da bu durumu dile getireceğim ve Tüketici Hakları'na başvuru yapacağım.","","","","",""
"TurkNet Ping Hız Sorunu","https://www.sikayetvar.com/turknet/turknet-ping-hiz-sorunu","Bukrat","22 Mayıs 21:30","297","İnternet hizmetinden memnun değilim. Sözde 100 Mbps hızında olmasına rağmen ping sürekli olarak 1500-1600 seviyelerine çıkıyor. 1080p kalitede video izlemekte bile zorlanıyorum. Müşteri hizmetlerini aradığımda arıza kaydı oluşturuluyor ancak sorun çözülmeden 'çözüldü' şeklinde geri dönüş yapılıyor.","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","",""
"TurkNet Yanlış E-mail Bilgileri","https://www.sikayetvar.com/turknet/turknet-yanlis-e-mail-bilgileri","Tuğçe","22 Mayıs 21:29","837","Yeni müşterinizin bütün abonelik bilgileri, faturası vs. Bir başkasının mailine gidiyor. Sisteminizden benim mailimi silin! Müşteri temsilcinize bağlandım beni başından attı. Abonenizin fatura bilgilerini başkalarıyla paylaşmanız KVKK'ya uyuyor mu?","","","","",""
"","","Zafer","22 Mayıs 21:16","370","","","","","",""
"TurkNet Pişmanlıktır İnternetim Arızalı Ve Görmemezlikten Geliniyor","https://www.sikayetvar.com/turknet/turknet-pismanliktir-internetim-arizali-ve-gormemezlikten-geliniyor","Batuhan","22 Mayıs 21:16","569","TurkNet internet kullanıyorum. Bana interneti sunarken kablosuzda aynı indirme hızı ve ping değerini alacağım söylendi; ancak interneti kullanmaya başladığımdan beri internet hızım aşırı derecede yavaş. Çok fazla şikayet kaydı oluşturdum, fakat çözüm üretilmiyor, yardımcı olunmuyor. Ama her ay alına","","","...","https://files.sikayetvar.com/complaint/2885/28854244/turknet-pismanliktir-internetim-arizali-ve-gormemezlikten-geliniyor-1_768x768.jpg",""
