"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone Hediye A101 Çekim Ve Hediye GB Gelmedi","Nil","27 Temmuz 12:40","393","İyi günler. Vodafone faturasız tarifemden faturalı uyumlu tarifeye geçiş yaptım. Vodafone yanımda uygulamasında A101 500 TL hediye çeki olduğu ve de i","...","#Uyumlu Tarife"
"Vodafone Saçmalığı Faturayı Her Ay Yükseltiyor","Hülya","27 Temmuz 12:40","86","","","#Taahhüt"
"Vodafone Red 25GB Ultra","Hızır","27 Temmuz 12:32","291","Vodafone red 25 sınırsız sosyal paketim var. Fakat Instagram, TikTok kullanırken kendi paketimden gidiyor ve uzun süredir kullanıyorum bu paketi hiçbir zaman sınırsız olarak gitmedi lütfen artık acil ilgilenin bu sorunla. Yoksa hattımı değiştirmek zorunda kalacağım.","","#Red"
"Vodafone Mobil Faturama Benden Habersiz Ek Ödemeler Geldi","İbrahim","27 Temmuz 12:31","68","Mobil ödemeler kabul edilmediği halde faturaya tanıtıldı. Ben böyle bir şey kabul etmeme rağmen Vodafone benden yaklaşık olarak 1000 TL fazla ücret istemekte. Ben bu ücreti ödemek istemiyorum çünkü benim haberim olmadan yapılmış bir şey. Gereğinin yapılmasını rica ediyorum.","","#Ek Paketler"
"Vodafone Büyük Fiyat Artışı!","Bayram","27 Temmuz 12:30","17","Tarifem bittikten sonra faturam 3,5 kat yükseldi. Farklı operatörlerle görüştüm, daha uygun fiyat teklifleri aldım. Yine de geçiş yapmak istemedim, düzeni bozmak istemedim. Müşteri hizmetlerini aradım, 9 yıllık Vodafone kullanıcısıyım. Farklı operatörden daha uygun teklifler aldım, geçiş yapmak iste","...","#Fatura"
"Vodafone Taahhüt İçeriği Sorunları!","Tc Semra","27 Temmuz 12:23","62","Vodafone müşteri hizmetlerinden arandım. Paket taahhüdüm bitmemesine 3-4 ay olmasına rağmen önceden size özel taahhüt diye arıyorlar. 1 sene vermemizin anlamı ne bilmiyorum. Hakkaniyetsiz bir durum. Taahhüdümün dolmasına 15-20 gün kala paketimi yine aradılar. Değiştirin ama taahhüdümün bitiş tarihin","...","#Taahhüt"
"","Göktay","27 Temmuz 12:23","26","","",""
"Vodafone Tarifemde Fahiş Fiyat Artışı 369 TL Den 610 TL'ye...","Akın","27 Temmuz 12:22","502","Çok uzun süredir Vodafone kullanıcısıyım son iki yıldır Vodafone tarife fiyatlarında sürekli fahiş artırımlara gidiyor. Halihazırda kullandığım 369 TL","...","#Red"
"Vodafone Kafasına Göre Fatura Artırıyor","Derya","27 Temmuz 12:22","140","3 sene 9 aydır müşterisi olduğum Limitsiz Red'li Elite Özel olan tarifeme için her sene makul artışlar ile devam ettim. Geçen aya kadar 212TL civarında olan faturam, bu ay 1050TL olarak güncellenmiş. Arayıp müşteri hizmetleri ile görüştüğüm zaman bana; taahhüdünüz bitmiş, aradaki yansıtılmayan (geçe","...","#Fatura"
"Vodafone Cepte Eğlence Şikayet","Meltem","27 Temmuz 12:13","47","Vodafone faturamı ödemek için baktığımda absürt pahalı geldi araştırdığımda Eğlence Cep'te diye abonelik oluşturulmuş. Ben böyle bir ürün veya hizmet almadım, kullanmadım. Haliyle hizmetini almadığım bir şeyi ödemek istemiyorum iptalini ve faturadan silinmesini talep ediyorum.","",""
"Vodafone Sınırsız İnternet Sınırsız Değil","Mustafa","27 Temmuz 12:12","608","Vodafone'da Sınırsız Red Lite Paketi tarifesine geçiş yaptım, internet hızım 30-40 Mbit hızdan 5 Mbit hıza düştü. Üstelik başka cihazlarımla paylaşımlı internette 15 GB kotası olduğunu öğrendim. Sınırsız diye sattıkları ürün sınırlı; hem hız sınırı hem de internet sınırı var. Ürünün reklamları yanıl","...","#Red"
"Vodafone Müşteri Temsilcileri Defalarca Yanlış Bilgi Verdi Mağdur Etti","Mustafa","27 Temmuz 12:11","774","Vodafone'na yeni geçmiştim. Ancak iş yerimde tam olarak çekmediği için acaba hattımı taşısam ne kadar ceza öderim diye 24.07.2024 tarihinde yanımda uy","...","#Cayma Bedeli"
"Vodafone Red Fırsatları Oldu Bize Vodafone Izdırap Fırsatları","Süleyman","27 Temmuz 11:52","228","Vodafone'un bilgisiz temsilcileri beni derbeder etti diyebilirim. A****** Hanım, son temsilci çok yetersiz, eğitim verin bence. Red ayrıcalıkları Elite üyesinin bana vermiş olduğu Migros hediye çeki hata veriyor. Migros Sanal Market, Makro Center vs. uygulaması olduğunu belirtiyor. Vodafone temsilci","...","#Red"
"Vodafone Aşmayan Faturam Olması Gerekenden Yüksek Gelmiş","Şirin","27 Temmuz 11:52","84","222 TL olan faturam için 360 TL ödemem için fatura gelmiş. Müşteri temsilcisiyle de görüşmek istedim sorunu çözmek için sesli yanıt sisteminden öteye geçmek için çok sabırlı ve bayağı zaman harcamak lazım. Bir sorun var ortada ve muhatap bulamıyorsunuz. Bir de bunun psikolojik şiddeti ayrı mevzu can","...","#Fatura"
"Vodafone İPhone 11 Yenilenmiş Cihaz","Yaren","27 Temmuz 11:51","72","Hala bana telefon hakkında ulaşmanızı bekliyorum! Kimse bana ulaşmadı sevgili Vodafone kendinize gelin lütfen! Telefon zar zor ayakta duruyor her yeri düşüyor plastik parçası sattınız resmen bize! Tüketici Hakları'na şikayette zaten bulundum. Acil dönüş bekliyorum.","","#Yanımda"
"Vodafone Yüksek Tarife Fiyatları","Pelin","27 Temmuz 11:51","162","Yaklaşık 10 senedir kullanmakta olduğum Vodafone 543... 65 hattımın taahhüdü bitmişti. Tekrardan yenilemedim. 160 küsur fatura gelirken bu ay 384 küsur bir fatura yansıtılmış. Bir ayda nasıl bu kadar zam gelmiş oluyor ki? Bir anda fiyatlar uçuyor. Türkiye'de enflasyon 100/140 da mi. Lütfen tekrar dü","...","#Fatura"
"Vodafone Yeni Hat Açılışı","Aykut","27 Temmuz 11:51","98","Vodafone onlinedan hat satın aldım. Bugün yaklaşık olarak altıncı gün ve hala açılmadı. Sanki ellerinde uşakları varmış gibi her gün müşteri hizmetlerini, dijital kuryeyi yok orası olmadı online müşteri hizmetleri arasında mekik dokuyorum açılmayacak ise hattın iptalini sağlayabiliriz. Neden bu kada","...",""
"Vodafone İnternet Sorunu: Yıllardır Kullandığım Hizmet Artık Neden Çalışmıyor?","Merve","27 Temmuz 11:43","109","Yıllardır cep telefonu operatörü olarak Vodafone'u kullanıyorum. Yaklaşık 2 aydır farklı pek çok lokasyonda internet kullanımında ileri derecede problem yaşıyorum. Aynı yerlerde yıllardır kullandığım cep telefonu internetimin artık kullanılamaz bir hale gelmesinin sebebini öğrenmek istiyorum.","",""
"Vodafone 5 Kat Birden Fatura Arttırdı","Yunus","27 Temmuz 11:42","117","Herhangi bir paket değişimi yapmadan ve bilgi verilmeden fatura 167 TL den 687 TL'ye çıkarıldı. Tamam. Enflasyon oranında zam yapılır ama 4. 5 katı da","...","#Fatura"
"Vodafone İzinsiz Abonelik Ve Güven Kaybı","Şehmus","27 Temmuz 11:35","217","Şifre: 2803 Aylık vergiler dahil 189 TL olan Novafun World oyun servisi için şifreyi giriniz. Abonelik başlatıldığında aylık ücret faturanıza yansıtılır. B003. Böyle bir talebim olmadı, bilgim dışında yapılmıştır. İptalinin gerçekleştirilmesini istiyorum. Vodafone'ye olan güvenim kalmadı.","","#Ek Paketler"
"Vodafone Ve Çabuk Biten İnterneti","Zeycan","27 Temmuz 11:35","115","Bundan önce başka bir operatörde 5 GB internet kullanıyordum hediyelerle birlikte gayet rahat idame ediyordum. Vodafone geçtim pişman oldum. Bildirimlere bakip aç kapa yaptığımda bile internet gidiyor. Hadi onu geçtim verdiğiniz hediye internetle birlikte kendi paketimdeki internet neden gidiyor? Al","...","#İnternet Paketi"
"Vodafone 500 TL Hediye Çeki Verilmedi!","İla","27 Temmuz 11:28","154","Vodafone'da faturalı hatta geçiş sırasında verilecek olan 500 TL'lik A101 hediye çeki verilmedi ve Vodafone uygulamasında bununla ilgili herhangi bir","...","#Kampanya"
"Vodafone Tarife Değişikliğinde Aşırı Fiyat Artışı","Nazmiye","27 Temmuz 11:27","72","Vodafone'da arayıp tarifeniz sona eriyor deyip yeni paket içerikleri sundular. Benim sadece konuşma yaptığımı, diğer hiçbir paket içeriğini kullanmadığımı sistemden görmelerine rağmen bir sürü internet Instagram vs hakkı verip fatura bedelini ödemeyeceğim miktara çıkarmayı teklif ettiler. Mağduriyet","...","#Fatura"
"","Gizem","27 Temmuz 11:20","51","","",""
"Vodafone Faturalı Hat Mağduriyeti","Halis","27 Temmuz 11:05","125","","","#Fatura"
"Vodafone'da Dakika Sorunu Ve Cayma Bedeli Şoku","Zehra","27 Temmuz 11:05","117","Vodafone 7 Temmuz 2024 tarihinde geçiş yaptım. Dakikalar ne çabuk bitti ne ara otomatik asıma girdi ben Türk Telekom da böyle bir dakika sorunu hiç yaşamadım. Baktığım zaman hali hazırda beni bekleyen 250 dakika paketide tanımlanmış. 20gun içinde canlı desteğe sordum cayma bedeli yok demişken bugün","...","#Cayma Bedeli"
"Vodafone Hediye Çarkı Sorunu","Yusuf","27 Temmuz 11:04","308","2-3 haftadır çarkı çeviremiyorum. Her çevirdiğimde hata veriyor. Biraz sonra deneyiniz diyor, deniyorum olmuyor. Akıllı asistana Tobi'ye soruyorum, neden çeviremiyorum diye, ondan da cevap alamıyorum. Lütfen en kısa zamanda sorunu gidermenizi talep ediyorum.","","#Hediye Çarkı"
"Vodafone Mağduriyetimi Düzeltsin Acil","Kübra","27 Temmuz 10:52","117","Yıllarca Vodafone müşterisiydim, başka hatta geçiş yaptım ama Vodafone sinyali kesmeyip bir de karşı taraf onaylamamış diyor müşteri yetkilisi. Halbuki şebekem geçiş yaptığım hatta görünüyor. Diğer operatörler arıyor (tamamen yanlış bilgi veriliyor müşteriye), bana çok yüksek fatura geldi. Ben halbu","...","#Fatura"
"Vodafone A101 500 TL Hediye Çeki","Aliye","27 Temmuz 10:38","452","Merhabalar. Vodafone faturalı tarifeye geçme karşılığında A101 500 TL hediye çeki verileceği söylendi. Faturalı tarifeye geçtiğim halde hiçbir kod vey","...",""
"Vodafone İnternetim Çabucak Bitiyor","Coşkun","27 Temmuz 10:17","129","Vodafone mobil hat kullanıcısıyım. Kontrol ettiğim zaman internet paketim çok fazla azalmış. O kadar çok azalmaması gerekiyor. Eskiden 4 GB bir ay yetiyordu. Şimdi 6 GB yetmiyor. Üstelik sadece ev dışında 3 veya 4 saat interneti kullanıyorum. Evimde Wi-Fi var. Müşteri hizmetlerini arıyorum, bir türl","...","#Cayma Bedeli"
"Vodafone Haberim Olmayan Abonelikler","Hamza","27 Temmuz 10:17","161","Vodafone'da her ay ortalama 200-250 TL fatura ödüyorum ancak bu ay 730 TL geldi. Hemen araştırdım ve mobil ödeme saçmalığından bilmediğim 2 tane, haberimin olmadığı yerden 2 tane 240 TL çekilmiş. Arkadaş, siz ne yaşıyorsunuz? Benim haberim olmadan 2 yerde abonelik başlatıyorsunuz. Kesinlikle kabul e","...","#Mobil Ödeme"
"Vodafone Fazladan Tarife Ekliyor","Ergün","27 Temmuz 10:17","85","Vodafone iznim olmadığı halde fazladan paket ilavesi yapmış. Müşteri hizmetlerine bağlanamıyorum. 190 TL olan fatura 450 TL gelmiş. Müşteri hizmetleri Tobi'ye bağlıyor saçma bir şekilde. Müşteri hizmetlerinin bağlanmasını talep ediyorum. Hat değişikliği yapacağım artık.","","#Ek Paketler"
"Vodafone Red Müşteri Hizmetleri Ulaşamama Sorunu","Akif","27 Temmuz 10:17","120","Vodafone müşteri hizmetlerine hiçbir şekilde bağlanamıyorum. Red kullanıcısıyım aylık 1k fatura ödüyorum ama karşımda konuşacak bir insan bulamıyorum. Vodafone gerçekten pişmanlıktır. Her seferinde tobi denilen saçma sisteme yönlendiriliyorum. Hiç Bir şekilde çözüm alamıyorum. Vasat bir müşteri dene","...","#Red"
"Vodafone Faturalandırmada Yapılan Yanlışlık...","Ümit","27 Temmuz 10:10","215","Vodafone onayım olmadan internet aşım paketi adı altında haksız kazanç talep ediyor. Aylık tarifem bittiği bilgisi verilmeden ve tarife yenilemek vark","...","#Aşım Ücreti"
"Vodafone Vizyon Elektrik A. S Mobil Ödeme Şikayet","Arif","27 Temmuz 10:10","181","2 yıldır Vodafone faturalı hat kullanıcısıyım. Geçen gün faturamı sorguladığımda tarafıma yansıtılan mobil ödemeleri gördüm. 1.861 TL tutarında bir fatura. Vodafone'u aradığımda ödemelerin Vizyon Elektrik A.Ş. hesabına yapıldığı söylendi ve Vizyon Elektrik ile iletişime geçmem için numara verildi. G","...","#Mobil Ödeme"
"Vodafone Ek Paket Alamıyorum","Fatih","27 Temmuz 10:03","105","Ek paket alamıyorum. İşlem talebiniz gerçekleştirilememiştir. Yapabileceğiniz tüm işlemler için Vodafone Yanımda'yı veya www.vodafone.com.tr'yi ziyaret edebilirsiniz. B003 böyle bir mesaj geliyor. Ek pakete ihtiyacım var, defalarca denedim olmuyor. Müşteri hizmetlerine ulaşamıyorum. Sorunumun gideri","...","#Ek Paketler"
"Vodafone Sıfır Hat Diye Fatura Borcu Olanı Sattı","Mine","27 Temmuz 10:03","71","Vodafone bayisinden 11 yaşındaki kızım için aldığım faturalı hat başkası tarafından kullanılmış ve 600 küsur borcu çıktı. Oysa ki daha önce kullanılmamış bir hat talep etmiştim, kullanılmış hattı bana sattılar ve otomatik ödeme verseydim parayı da benden tahsil edeceklerdi. Fatura ödemek istediğimd","...","#Fatura"
"Vodafone Online Hat Başvurusu","Oğuzhan","27 Temmuz 10:03","150","Vodafone online hat başvurusu yaptım, 1 hafta oldu. Halen hattım açılmadı. 4 farklı Vodafone çağrı merkezi numarası ile görüştüm, hiçbiri ne yapacağını bilmiyor. Sanki Türkiye'de ilk defa ben yapmışım gibi konuya yabancı davranıyorlar. 1 hafta oldu, mağdurum. Ne çağrı merkezi ne de mağaza üzerinden","...","#Hat Başvurusu"
"Vodafone Fatura Skandalı! İnsanları Mağdur Ediyorlar","Merve","27 Temmuz 09:57","86","Yıllardır Vodafone'luyum, ailece tarifeleri yükseltmelerine rağmen. Ancak 60 yaşında insanlara mesaj attık deyip atmamaları, aradık deyip aramamaları ve 800 TL fatura göndermeleri kabul edilemez. Aradığımızda da tarife bitmiş, tarifesiz kullanmışsınız demeleri, zamanı gelmemişken 05.08 son ödeme tar","...","#Fatura"
"Vodafone İle Sorun Yaşamak Çok Kolay!","Gkmen","27 Temmuz 09:50","94","Kullanmakta olduğum hat faturalı bağlı olduğum GSM firması Vodafone uygun tarife kullandığım için faturasız hatt hakkında bilgi almak istedim. Birkaç gün sonra bir de baktım aniden faturasız hata geçiş işlemim yapıldı. Vodafone'u arayamıyorum internet sitesinden şikayet oluşturmak için görüşme talep","...","#Tarife Değişikliği"
"Vodafone Bilgi Vermeden Fatura Yükseltmesi","Büşra","27 Temmuz 09:50","75","Vodafone bana herhangi bir bilgi vermeyip, normalde 190 TL ödediğim faturamı 650 TL yaparak taahhüdümün bittiğini söylüyorlar. Ama ben herhangi bir arama almadım. Bununla ilgili bilgi verilmeden nasıl böyle bir şey yapılıyor? Her şey için defalarca arıyorlar, bunun bilgisi neden verilmiyor?","","#Fatura"
"Vodafone Açılmayan Yeni Hat","Rmzn","27 Temmuz 09:38","146","Vodafone'a hat aldığım için pişmanım 10.07.2024 tarihinde internet üzerinden çocuğuma hat aldım. Kurye 18.07.2024 tarihinde hattı teslim etti. 24 saat içinde hat açılacak dendi. 27.07.2024 oldu yaklaşık 10 gün hattı açmayı beceremediler. 10 defa müşteri hizmetleri ile görüştüm 24 saate açılacak diyo","...","#Hat Başvurusu"
"Söylenen Başka Görünen Başka. Vodafone Pişmanlıktır.","Oktay","27 Temmuz 09:19","182","Vodafone kullanıcısıyım. Vodafone'da kullanmış olduğum taahhüt bu ay sonunda sona ermekte. Vodafone malum numaralarından arandım ve 40 GB interneti ol","...","#Red"
"Vodafone Haksız Yere Tanımlanan Tarife Aşım Paketi","Serap","27 Temmuz 09:13","226","Yıllardır Vodafone kullanıyorum ama bazı sorunları aşamıyoruz ve çözemiyoruz. Tarifemde hediye çarkından kalan 2.96 GB internet paketim olduğu halde t","...","#Aşım Ücreti"
"Vodafone Fahiş Fiyat Zammı","Ayşe","27 Temmuz 09:07","195","Vodafone taahhütüm bitti, faturam 190 TL'den 570 TL'ye çıktı. Çok fahiş bir zam oldu. Uygun tarife de sunmuyorlar. Bütün hattımı komple başka bir GSM operatörüne taşıyacağım. Vodafone fahiş fiyat uyguluyor, bu denetlenmesi lazım. Kendi kafalarına göre tekelleşmeye almışlar kendilerini.","","#Taahhüt"
"Vodafone Hattı Kapatmamış Para Almaya Devam Etmiş!","Yunus","27 Temmuz 09:02","223","Vodafone a ait hattımı iki ay önce kapatmak için bulunduğum ilçedeki Vodafone bayisine başvurdum. İptal işlemini yaptığım gün diğer operatörden aldığım hattı kullanmaya başladım. Geçen hafta banka işlemlerini kontrol ederken bu hattıma ait otomatik ödeme talimatımı kapatmamıştım ve hattım hiç kapanm","...","#Hat İptali"
"Vodafone Faturalı Tarife Fiyatları","Recep","27 Temmuz 08:56","136","Vodafone faturalı Red30 tarifesini kullanıyordum 247 TL'ye. Fakat taahhüdüm biteceği zaman bana 590 TL fiyat çıkardılar. İki katından fazla. Ben de ta","...","#Red"
"Vodafone Contend İptal Edilmesi Ve Ödemek İstemiyorum","Ayşegül","27 Temmuz 08:27","247","Contend adında faturama ek ücret çıkmış, ödemek istemiyorum çünkü ben yapmadım. Gelen şifre falan bir yere girmedim, para kesmek için yer arıyorsunuz.","...","#Yanımda"
"Vodafone Müşteri Hizmetleri İnsanları Yanlış Yönlendiriyor","Canan","27 Temmuz 08:22","67","Vodafone hattımı geçen ay mobil ödemeye kapattım. Müşteri hizmetleri ile görüşerek bana kapandığını söylediler. Bu ay tekrar yüksek fatura gelince baktığımda mobil ödeme ile hizmet satın alınmış. Dün akşam arayıp görüştüğüm üç farklı müşteri temsilcisi üçü de farklı bilgiler verdiler ve dün akşam mo","...","#Mobil Ödeme"
"Vodafone Sorumsuzluğu Ve İlgisizliği","İsmail","27 Temmuz 07:25","113","Vodafone Yanımda uygulamasından bir cihaz aldım. Sonra ürün kargodayken müşteri temsilcisi bilgisi dahilinde arayıp bilgi aldım. İptal için (ürünü kargodan iptal olur) dendi ve ürün iptal oldu ama ürün faturama yansıdı. 20 gün sonunda zorla da olsa düzeltildi. Asıl sorunum şu: Fatura sureti istiyoru","...","#Fatura"
"Vodafone Fatura Otomatik Ödeme","Deniz","27 Temmuz 07:14","91","Uyurken Vodafone'dan saçma bir mesaj geldi, ne alaka bilmiyorum. İptal edilmesini ve gerekenin yapılmasını talep ediyorum. Benim adıma ne üyeliği anlamış değilim. Hiçbir üyelik yapmadım, kafaya göre bir şeyler yansıtıldı. Yardımcı olur musunuz lütfen? Hayırlı günler, kolay gelsin.","","#Fatura"
"Vodafone Dan Fahiş Fiyat Artışı","Mevlut","27 Temmuz 05:58","216","4 yıldır Vodafone hat sahibiyim. Mevcut tarifem 100 TL ve taahhüdüm yakında bitecek. Vodafone bana yeni taahhüt için teklif sunarken 477 TL teklif sunuyor ve internet paketimden daha azını 477 TL'ye sunuyor. Yeni hat alarak Vodafone'a gelen kullanıcılara ise çok daha düşük fiyattan teklif sunuyor. A","...","#Taahhüt"
"Vodafone'un Haksız Kesimleri","Turgay","27 Temmuz 05:20","67","Faturamdan 22.07.2024 tarihinde haberim olmadan ""Dailyfunworld"" adlı bir ürün üzerinden 239 liralık bir kesim yapılmıştır. Benim onayım olmadan, nasılsın ve hiçbir bilgim olmadan nasıl yapılıyor anlamış değilim. Hukuki işlem başlatacağım dan emin olabilirsiniz","","#Fatura"
"Vodafone Numara Taşıma İptali","Fatma","27 Temmuz 04:20","295","11.07.2024 tarihinde Vodafone'a numara taşıma başvurusunda bulundum. İşlemlerin 4 gün içerisinde sonuçlanacağını söylediler fakat defalarca aramama rağmen sonuç alamadım. 19.07.2024 tarihinde müşteri hizmetlerini aradığımda taşıma işleminin onaylanmadığını, elime ulaşan sim kartın geçersiz olduğunu","...","#Numara Taşıma"
"Vodafone Hediye Çarkı Çeviremiyorum","Yunus","27 Temmuz 04:04","215","Öncelikle iyi günler. Ben bir haftadır hediye çarkını çeviremiyorum. Bir haftadır uğraşıyorum ama olmuyor. İki gün bekledim belki güncelleme vardır diye güncelleme geldi güncelledim. Ama yine de çeviremiyorum. Kendi internetim yok diye çeviremiyorum zannettim internet yükledim ama yine de çeviremiyo","...","#Hediye Çarkı"
"","Batuhan","27 Temmuz 06:14","0","","",""
"Vodafone Net Vodafone İnterneti Çok Hızlı Bitiyor","Andaç","27 Temmuz 03:58","69","Vodafone internet paketi inanılmaz hızlı bitiyor. Sosyal medyada kısa süre durunca bile neredeyse yarım GB internet yiyor. Hele Youtube.com a girince","...","#İnternet Paketi"
"Vodafone Faturalıya Geçişte A101 Çeki Sorunu","İsmail","27 Temmuz 03:20","309","Merhabalar, ben 26/07/2024 tarihinde geçtiğim faturalı teklifte, faturalıya geçmemde 500 TL değerinde A101 hediye çeki verileceği belirtiliyordu. Fakat faturalıya geçtikten sonra herhangi bir bilgi mesajı ya da Yanımda uygulamasında buna dair herhangi bir bilgi bulamıyorum. Lütfen en kısa sürede yar","...","#Yanımda"
"Vodafone Hiç Çekmeyen İnternet","Vedat","27 Temmuz 03:08","149","Ben Vodafone'a girdiğimde çok sevindim, hem ucuz hem şebekesi iyi diye. Ama 1 ay geçtikten sonra maalesef yanıldım. Halbuki 5 kişiyi Vodafone'a taşıdım. İnternet yavaşladı, çok çekmiyor. Çok şikayet ettim, aydan aya erteliyorlar. 'Sizin bölgenizde sorun var, istasyonda' dediler, hala çözüyorlar. Ben","...","#Şebeke"
"Vodafone Fahiş Fiyat Artışı","Cevdet","27 Temmuz 02:29","135","Ben, Vodafone abonelerinden biriyim. Son dönemde, mevcut tarifemde 76 TL öderken git gide artarak %450 oranında bir artış yapılmış olduğunu, Faturamı bankadan otomatik olarak ödediğim için çok geç fark ettim, öncesinde tarafıma bildirim yapılmadı. Bu durum, benim için hem maddi hem de hizmet kalites","...","#Fatura"
"Yüksek Vodafone Tarife Maliyetleri Hakkında","Talha","27 Temmuz 02:23","130","Vodafone tarifem bitti. Sundukları yeni tarife fiyatları mevcut tarifemin 2.5 katı maliyetinde, mevcut tarifemde devam edersem ise 3 kattan fazla maliyet sunuyor. Ne istiyorlar anlayamadım eğer teklifler ile ilgili düzeltme gelmez ise yarından itibaren numara taşıma yapmak durumdayım. Lütfen bu konu","...","#Tarife Değişikliği"
"Vodafone Faturam Olması Gerekenden 100 TL Fazla","Furkan","27 Temmuz 02:17","131","3 ay indirimli 235 TL. Ardından 9 ay 335 TL olan bir senelik bir tarifeye geçtim. Fakat görselde de görüldüğü üzere 2 ay indirimden yararlandıktan sonra 3. faturamda yine indirimli olması gerekirken fazla olan tutardan faturalandırılmışım. Müşteri temsilcisini aradığımda ilk tarifeye geçtiğim 4 gün","...","#Fatura"
"Tarife Değişikli İle Yaşanan Fatura Sorunu Vodafone","Celal","27 Temmuz 02:10","90","Ailecek uzun süredir Vodafone markasını tercih ediyor ve sağlıklı bir şekilde kullanıyoruz. Yalnız yaşadığımız son olayla birlikte Vodafone kullanımın","...","#Fatura"
"Vodafone, Aramada Uyarısız Sesli Mesaja Geçme Sorunu","Mert","27 Temmuz 01:48","136","Birçok hayal kırıklığı yaşamış bir Vodafone kullanıcısı olarak yeni bir absürt durum yaşıyorum. Bir arama yaptığım zaman birkaç çalmadan sonra hiçbir uyarı veya bilgilendirme yapılmadan otomatik sesli mesaja geçiyor. Normalde “aradığınız kişi şu anda telefona cevap veremiyor” bilgilendirmesi yapılma","...","#SMS"
"Vodafone Kayapa'da Çekmiyor Bursa -Nilüfer!","Ali","27 Temmuz 01:48","61","Vodafone operatörü Bursa 30 Ağustos Mahallesi'nde, Kayapa olarak da bilinen noktada hiç çekmiyor. Sitede çoğu komşumuz farklı operatöre geçti. Bunun bir çözümü olmalı diye düşünüyorum. Balkondan sarkarak 1 diş çekiyor, onunla konuşuyoruz, zar zor iletişim kuruyoruz. Vodafone.","","#Şebeke"
"Vodafone Hediye Çarkı Hay Aksi Hatası","Muhammet","27 Temmuz 01:30","171","Hediye çarkını açtığımda hiçbir şey yoktu ancak çevirdiğimde gelen ödülü alamıyordum ve bu yüzden 1 hafta boyunca ödül alamayıp hediye çarkını çeviremedim ve bu yüzden hiç ödül alamadım. Bu benim canımı sıkmaya başlamıştı, o yüzden sizden yardım istiyorum.","","#Hediye Çarkı"
"Vodafone Nun Uçuk Fiyatlı Tarifeleri","Seyfettin","27 Temmuz 01:30","68","Vodafone tarife taahhüdüm bittiğinde %350 ye yakın zam yaptı. 100 küsur plan tarifem yenilenme yapmadığım için 500 küsur oldu. Yeni sunulan paketler d","...","#Faturalı Tarifeler"
"Vodafone Content Dest Grp İptali!","Emrah","27 Temmuz 01:23","130","Content dest grup üyeliği adı altında hiçbir bilgim ve rızam olmadan 5 yani uygulamaya abone olduğumu gelen SMS ile öğrendim. 2 gündür iptal etmek istiyorum mobil ödemeyi kapattık fakat hala o uygulamalardan ücret alınmaya çalışılıyor. Faturanın ve üyeliklerin iptal edilmesini ve üyelik adı altında","...","#İçerik Servisleri"
"Vodafone 30gb Red'li Paket","Devran","27 Temmuz 01:17","259","Red'li özel 30 GB paketim 3000 dakika 250 SMS sabit hatlar ve Vodafone'lu larla sınırsız konuşma ayrıca WhatsApp, Youtube.com, Facebook, Instagram gibi uygulamalarda sınırsız olarak paketi aldın fakat şu an sosyal yönde herhangi bir sınırsız bir hakkım yok. Bunun düzeltilmesini talep ediyorum. Müşte","...","#Red"
"Vodafone Gamer Pass Aldatmacası","Anda","27 Temmuz 01:17","147","Vodafone'dan Gamer Pass 1 haftalık satın aldım ve detaylarını okuduğumda YouTube.com'da mobil veri kullanımlarımın eksilmediği yazdığından 110 TL ödeme yaparak aldım. Sonra hesabımda aktif olduğu mesajı gelince ben de YouTube'a girdim ve video izlemeye başladım ama videonun yarısında kullanım haklar","...","#Sınırsız Paket"
"Vodafone Artık Yeter Bence","Burak","27 Temmuz 01:10","93","Vodafone hat kullanıyorum. Faturalı 300 TL olan tarifem 1200 TL oldu. Bu şekilde kullanmak istemiyorum, gerekirse farklı operatöre geçmek ilk planım. Bu kadar fiyat yükselmesi bir anda, bu dönemde çok fazla ve tarifemi uygun fiyatlı tarifelere geçemiyorum. Sistem üzerinde gözükmüyor. Bu konu ile ilg","...","#Faturalı Tarifeler"
"Vodafone Hem Şebeke Hem Pahalı","İlknur","27 Temmuz 01:09","149","Bulunduğum mahallede baz istasyonuna 9 km açık alan Vodafone müşteri hizmetlerini arıyorum, şebeke problemim var diyorum. Hat ayarlarını güncelledik diye sallıyorlar ve yine aynı, ne internet ne de ses alamıyorum. Ve bu da yetmezmiş gibi tarifemin taahhüdü bitmiş, yüksek fiyat çıkarıyorlar. Sen hizm","...","#Şebeke"
"Vodafone Pişmanlıktır. Faturama Yüzde Yüzün Üzerine Zam Uygulanmış😠","Ümmuhan","27 Temmuz 01:09","68","98 lira olan faturamı yüzde yüzün üzerinde zam yaparak benim onayım olmadan 327 liraya çıkarmışsınız. Böyle bir hakkınız yok yüzde on beşin üzerinde zam uygulayamazsınız. En kısa zamanda Tüketici Hakem Heyeti'ne şikayet oluşturacağım. Her yere de yazacağım.. Herkes haklarını bilsin...","","#Fatura"
